source,target,relation,weight
"P030","METH_cationic_polymerization","uses","1"
"P030","METH_ROMP","uses","1"
"P030","METH_ATRP","uses","1"
"P030","METH_RAFT","uses","1"
"P030","METH_NMP","uses","1"
"P030","METH_SEC_GPC","uses","1"
"P030","INST_Stony_Brook_University","from","1"
"P031","MAT_Stimuli_responsive_polymers","studies","1"
"P031","MAT_Shape_Memory_Polymers","studies","1"
"P031","MAT_self_healing_polymers","studies","1"
"P031","MAT_mechanochromic_polymers","studies","1"
"P031","MAT_photonic_crystals","studies","1"
"P031","MAT_Liquid_Crystal_Elastomers","studies","1"
"P031","METH_Shape_memory_programming_recovery","uses","1"
"P031","METH_scratch_healing_tests","uses","1"
"P031","METH_fluorescence_spectroscopy","uses","1"
"P031","METH_photonic_crystal_characterization","uses","1"
"P031","CONC_Shape_Memory_Effect","addresses","1"
"P031","CONC_Mechanochromism","addresses","1"
"P031","CONC_Transport_Properties","addresses","1"
"P031","INST_University_of_Chicago","from","1"
"P032","MAT_Polysulfone","studies","1"
"P032","MAT_Polyimide","studies","1"
"P032","MAT_Cellulose","studies","1"
"P032","MAT_PTMSP","studies","1"
"P032","MAT_PPO","studies","1"
"P032","MAT_mixed_matrix_membranes","studies","1"
"P032","MAT_MOFs","studies","1"
"P032","MAT_carbon_molecular_sieves","studies","1"
"P032","METH_Gas_permeability_testing","uses","1"
"P032","METH_pure_gas_and_mixed_gas_testing","uses","1"
"P032","METH_Robeson_upper_bound_analysis","uses","1"
"P032","CONC_Crosslinking","addresses","1"
"P032","CONC_Diffusion","addresses","1"
"P032","INST_University_of_Oklahoma","from","1"
"P033","MAT_RAFT_agents__dithioesters","studies","1"
"P033","MAT_trithiocarbonates","studies","1"
"P033","MAT_xanthates","studies","1"
"P033","MAT_dithiocarbamates_","studies","1"
"P033","MAT_Polyacrylates","studies","1"
"P033","MAT_acrylamides","studies","1"
"P033","MAT_styrenes_","studies","1"
"P033","MAT_LAMs__VAc","studies","1"
"P033","MAT_NVP","studies","1"
"P033","MAT_NVC_","studies","1"
"P033","METH_RAFT","uses","1"
"P033","METH_SEC_GPC","uses","1"
"P033","METH_block_copolymer_synthesis_by_sequential_","uses","1"
"P033","INST_University_of_Warwick","from","1"
"P034","MAT_Elastomers","studies","1"
"P034","MAT_SBR","studies","1"
"P034","MAT_silicone_","studies","1"
"P034","MAT_Hydrogels","studies","1"
"P034","MAT_interpenetrating_networks","studies","1"
"P034","MAT_dynamic_bond_networks","studies","1"
"P034","METH_Fracture_mechanics","uses","1"
"P034","METH_uniaxial_tension","uses","1"
"P034","METH_Gent_model","uses","1"
"P034","METH_Lake_Thomas_theory","uses","1"
"P034","METH_slip_link_model","uses","1"
"P034","CONC_Toughness","addresses","1"
"P034","CONC_Fracture_Mechanics","addresses","1"
"P034","CONC_Polymer_Networks","addresses","1"
"P034","INST_CNRS_ESPCI_Paris","from","1"
"P035","MAT_Ideal_chains__FJC","studies","1"
"P035","MAT_Gaussian","studies","1"
"P035","MAT_WLC_","studies","1"
"P035","MAT_real_chains_with_excluded_volume","studies","1"
"P035","MAT_ring_polymers","studies","1"
"P035","METH_Statistical_mechanics","uses","1"
"P035","METH_path_integral_representation","uses","1"
"P035","METH_Flory_Huggins_theory","uses","1"
"P035","METH_scaling_analysis","uses","1"
"P035","CONC_Topology","addresses","1"
"P035","INST_California_Institute_of_Technology","from","1"
"P036","MAT_Block_Copolymers","studies","1"
"P036","MAT_PDMS","studies","1"
"P036","MAT_PEO_b_PPO_","studies","1"
"P036","MAT_bottlebrush_block_polymers","studies","1"
"P036","MAT_protein_block_polymers","studies","1"
"P036","METH_SCFT","uses","1"
"P036","METH_SAXS","uses","1"
"P036","METH_TEM","uses","1"
"P036","METH_DSC","uses","1"
"P036","METH_Anionic_Polymerization","uses","1"
"P036","METH_RAFT","uses","1"
"P036","METH_ATRP","uses","1"
"P036","CONC_Polymer_Brushes","addresses","1"
"P036","INST_UC_Santa_Barbara","from","1"
"P037","MAT_PHEMA","studies","1"
"P037","MAT_PLGA","studies","1"
"P037","MAT_PVA","studies","1"
"P037","MAT_PEG","studies","1"
"P037","MAT_ELPs","studies","1"
"P037","MAT_RLPs","studies","1"
"P037","MAT_polypeptides_from_NCA_polymerization","studies","1"
"P037","METH_NCA_ring_opening_polymerization","uses","1"
"P037","METH_ROMP","uses","1"
"P037","METH_ATRP","uses","1"
"P037","METH_RAFT","uses","1"
"P037","METH_CuAAC","uses","1"
"P037","METH_SPAAC","uses","1"
"P037","METH_tetrazine_ligation","uses","1"
"P037","METH_thiol_ene","uses","1"
"P037","METH_recombinant_DNA_technology","uses","1"
"P037","INST_University_of_Delaware","from","1"
"P038","MAT_Polyelectrolytes","studies","1"
"P038","MAT_DNA","studies","1"
"P038","MAT_sodium_poly_","studies","1"
"P038","MAT_counterions","studies","1"
"P038","MAT_salt_ions","studies","1"
"P038","METH_Debye_H_ckel_theory","uses","1"
"P038","METH_Bjerrum_length_analysis","uses","1"
"P038","METH_Katchalsky_free_energy_model","uses","1"
"P038","METH_scaling_theory","uses","1"
"P038","INST_University_of_Massachusetts","from","1"
"P039","MAT_N_A","studies","1"
"P039","METH_N_A","uses","1"
"P039","CONC_Crystallization","addresses","1"
"P039","CONC_Glass_Transition","addresses","1"
"P039","CONC_Supramolecular_Chemistry","addresses","1"
"P039","CONC_Sustainability","addresses","1"
"P039","CONC_Polymer_Brushes","addresses","1"
"P039","CONC_Copolymers","addresses","1"
"P039","CONC_Block_Copolymers","addresses","1"
"P039","CONC_Membranes","addresses","1"
"P039","INST_University_of_Minnesota__Editor_","from","1"
"P040","MAT_N_A","studies","1"
"P040","METH_N_A","uses","1"
"P040","INST_University_of_Minnesota__Editor_in_Chief","from","1"
"P041","MAT_Polymer_nanocomposites___silica","studies","1"
"P041","MAT_titania","studies","1"
"P041","MAT_C60","studies","1"
"P041","MAT_Carbon_Nanotubes","studies","1"
"P041","MAT_clay","studies","1"
"P041","MAT_Graphene","studies","1"
"P041","MAT_metal_oxide_NPs_in_various_polymer_matri","studies","1"
"P041","METH_RAFT","uses","1"
"P041","METH_RAFT","uses","1"
"P041","METH_ATRP","uses","1"
"P041","METH_SAXS","uses","1"
"P041","METH_TEM","uses","1"
"P041","CONC_Grafting","addresses","1"
"P041","CONC_Reinforcement","addresses","1"
"P041","CONC_Membranes","addresses","1"
"P041","INST_Columbia_University","from","1"
"P042","MAT_PPTA","studies","1"
"P042","MAT_PBO","studies","1"
"P042","MAT_PIPD","studies","1"
"P042","MAT_PBZT","studies","1"
"P042","MAT_co_polyaramid","studies","1"
"P042","MAT_Polyimide","studies","1"
"P042","METH_Lattice_dynamics","uses","1"
"P042","METH_molecular_mechanics","uses","1"
"P042","METH_X_ray_diffraction","uses","1"
"P042","METH_Raman_spectroscopy","uses","1"
"P042","METH_crystal_elastic_modulus_calculation","uses","1"
"P043","MAT_Coiling_polymers_in_dilute_solution__pol","studies","1"
"P043","MAT_polyisobutylene_","studies","1"
"P043","METH_Submolecule_concept","uses","1"
"P043","METH_orthogonal_transformation","uses","1"
"P043","METH_normal_mode_analysis","uses","1"
"P043","CONC_Entanglement","addresses","1"
"P043","CONC_Relaxation_Dynamics","addresses","1"
"P043","INST_The_Franklin_Institute","from","1"
"P044","MAT_Cyclic_allylic_sulfides","studies","1"
"P044","MAT_allyl_sulfide_CTAs","studies","1"
"P044","MAT_thiyl_radicals","studies","1"
"P044","METH_RAFT","uses","1"
"P044","METH_SEC_GPC","uses","1"
"P044","METH_NMR","uses","1"
"P044","METH_MALDI_TOF","uses","1"
"P044","METH_DFT","uses","1"
"P044","METH_chain_extension","uses","1"
"P044","CONC_Copolymers","addresses","1"
"P044","CONC_Block_Copolymers","addresses","1"
"P044","INST_Sun_Yat_Sen_University","from","1"
"P045","MAT_Associative_polymers","studies","1"
"P045","MAT_Ionomers","studies","1"
"P045","MAT_HEUR","studies","1"
"P045","MAT_hydrogen_bonding_polymers","studies","1"
"P045","METH_Sticky_Rouse_model","uses","1"
"P045","METH_MD_Simulation","uses","1"
"P045","METH_graph_theory_for_eigenvalue_analysis","uses","1"
"P045","CONC_Rheology","addresses","1"
"P045","CONC_Relaxation_Dynamics","addresses","1"
"P045","INST_Fudan_University","from","1"
"P046","MAT_Dual_polymer_networks","studies","1"
"P046","MAT_phantom_networks","studies","1"
"P046","MAT_dendrimer_models","studies","1"
"P046","METH_Modified_SRM","uses","1"
"P046","METH_graph_theory_for_eigenvalues","uses","1"
"P046","METH_MD_Simulation","uses","1"
"P046","METH_FENE_potential","uses","1"
"P046","CONC_Toughness","addresses","1"
"P046","CONC_Viscoelasticity","addresses","1"
"P046","CONC_Relaxation_Dynamics","addresses","1"
"P046","CONC_Polymer_Networks","addresses","1"
"P046","CONC_Diffusion","addresses","1"
"P046","INST_Fudan_University","from","1"
"P047","MAT_Epoxidized_polybutadiene","studies","1"
"P047","MAT_VAA__modified_PB","studies","1"
"P047","MAT_Block_Copolymers","studies","1"
"P047","METH_Epoxidation_with_mCPBA","uses","1"
"P047","METH_ring_opening_with_amines__ethylamine","uses","1"
"P047","METH_butylamine","uses","1"
"P047","METH_diethylamine_","uses","1"
"P047","METH_DFT","uses","1"
"P047","METH_SEC_GPC","uses","1"
"P047","METH_DSC","uses","1"
"P047","CONC_Hydrogen_Bonding","addresses","1"
"P047","CONC_Toughness","addresses","1"
"P047","INST_University_of_Tokyo","from","1"
"P048","MAT_Kremer_Grest_bead_spring_polymer_melt_wi","studies","1"
"P048","METH_Hybrid_MD_Monte_Carlo_simulation","uses","1"
"P048","METH_Rouse_mode_analysis","uses","1"
"P048","METH_FENE_bonds","uses","1"
"P048","METH_LJ_potential","uses","1"
"P048","CONC_Crosslinking","addresses","1"
"P048","CONC_Relaxation_Dynamics","addresses","1"
"P048","INST_IIT_Madras","from","1"
"P049","MAT_TPU__Thermoplastic_Polyurethane_","studies","1"
"P049","MAT_thermosetting_PU_foams","studies","1"
"P049","MAT_Elastomers","studies","1"
"P049","METH_Mechanical_recycling__extrusion","uses","1"
"P049","METH_compression","uses","1"
"P049","METH_injection_moulding_","uses","1"
"P049","METH_glycolysis","uses","1"
"P049","METH_hydrolysis","uses","1"
"P049","METH_physical_recycling","uses","1"
"P049","METH_biodegradation","uses","1"
"P049","CONC_Crosslinking","addresses","1"
"P049","CONC_Biodegradability","addresses","1"
"P049","INST_University_of_Padova","from","1"
"P050","MAT_PVA","studies","1"
"P050","MAT_C_borax_15_mM_","studies","1"
"P050","METH_Rheology","uses","1"
"P050","METH_start_up_flow","uses","1"
"P050","METH_flow_cessation","uses","1"
"P050","METH_step_strain","uses","1"
"P050","METH_rheo_dielectric_measurements","uses","1"
"P050","CONC_Rheology","addresses","1"
"P050","CONC_Relaxation_Dynamics","addresses","1"
"P050","CONC_Polymer_Networks","addresses","1"
"P050","CONC_Ionic_Electronic_Conductivity","addresses","1"
"P050","INST_Changchun_Institute_of_Applied_Chemistry","from","1"
"P051","MAT_Polyacrylates","studies","1"
"P051","MAT_Polyacrylates","studies","1"
"P051","MAT_Polyacrylates","studies","1"
"P051","MAT_DPHA","studies","1"
"P051","MAT_SEBS","studies","1"
"P051","MAT_Carbon_Nanotubes","studies","1"
"P051","MAT_spiropyran","studies","1"
"P051","METH_UV_photomask_patterning","uses","1"
"P051","METH_Electrospinning","uses","1"
"P051","METH_capacitance_measurement","uses","1"
"P051","METH_mechanical_cycling","uses","1"
"P051","CONC_Fatigue_Resistance","addresses","1"
"P051","CONC_Crosslinking","addresses","1"
"P051","CONC_Interfaces","addresses","1"
"P051","CONC_Sensing","addresses","1"
"P051","INST_Seoul_National_University","from","1"
"P052","MAT_Single_domain_NdFeB_nanoparticles","studies","1"
"P052","MAT_PAM","studies","1"
"P052","MAT_gold_nanoparticles","studies","1"
"P052","MAT_acrylamide_monomer","studies","1"
"P052","METH_Ball_milling_for_SD_MD_particle_preparat","uses","1"
"P052","METH_magnetic_hysteresis_loops","uses","1"
"P052","METH_TEM","uses","1"
"P052","METH_RAFT","uses","1"
"P052","METH_3D_Printing","uses","1"
"P052","METH_Rheology","uses","1"
"P052","CONC_Hydrogen_Bonding","addresses","1"
"P052","CONC_Self_Healing","addresses","1"
"P052","CONC_Toughness","addresses","1"
"P052","CONC_Crosslinking","addresses","1"
"P052","CONC_Biocompatibility","addresses","1"
"P052","CONC_Grafting","addresses","1"
"P052","CONC_Actuation","addresses","1"
"P052","INST_Hefei_University_of_Technology","from","1"
"P053","MAT_Poly_TUEG___Mn_9500","studies","1"
"P053","MAT_Mw_22300_","studies","1"
"P053","MAT_TUEG_","studies","1"
"P053","MAT_TUEG_","studies","1"
"P053","MAT_poly_TUC_","studies","1"
"P053","MAT_TUC__","studies","1"
"P053","MAT_poly_UEG_","studies","1"
"P053","METH_DSC","uses","1"
"P053","METH_FTIR","uses","1"
"P053","METH_XRD","uses","1"
"P053","METH_DMA","uses","1"
"P053","METH_rheometer_based_healing_test","uses","1"
"P053","METH_TEM","uses","1"
"P053","METH_Tensile_Testing","uses","1"
"P053","CONC_Hydrogen_Bonding","addresses","1"
"P053","CONC_Relaxation_Dynamics","addresses","1"
"P053","CONC_Adhesion","addresses","1"
"P053","CONC_Diffusion","addresses","1"
"P053","INST_The_University_of_Tokyo","from","1"
"P054","MAT_Non_isocyanate_polys","studies","1"
"P054","MAT_biscarbamate","studies","1"
"P054","MAT_oligo_diol__OCD","studies","1"
"P054","MAT_Mn_2000_","studies","1"
"P054","MAT_titanium_tert_butoxide_catalyst","studies","1"
"P054","METH_Solid_state_polycondensation","uses","1"
"P054","METH_melt_polycondensation","uses","1"
"P054","METH_FTIR","uses","1"
"P054","METH_NMR","uses","1"
"P054","METH_SEC_GPC","uses","1"
"P054","METH_DSC","uses","1"
"P054","METH_TGA","uses","1"
"P054","METH_WAXS","uses","1"
"P054","METH_DMA","uses","1"
"P054","METH_Tensile_Testing","uses","1"
"P054","CONC_Toughness","addresses","1"
"P055","MAT_Vinylogous_urethane__VU_O","studies","1"
"P055","MAT_from_acetoacetate_","studies","1"
"P055","MAT_vinylogous_urea__VUN","studies","1"
"P055","MAT_from_acetoacetamide_","studies","1"
"P055","MAT_poly_trifunctional_amine_crosslinker","studies","1"
"P055","METH_DSC","uses","1"
"P055","METH_DMA","uses","1"
"P055","METH_tan__","uses","1"
"P055","METH_WAXS","uses","1"
"P055","METH_FTIR","uses","1"
"P055","METH_model_compound_kinetics","uses","1"
"P055","METH_Tensile_Testing","uses","1"
"P055","CONC_Phase_Separation","addresses","1"
"P055","CONC_Dynamic_Covalent_Chemistry","addresses","1"
"P055","CONC_Hydrogen_Bonding","addresses","1"
"P055","CONC_Relaxation_Dynamics","addresses","1"
"P055","CONC_Polymer_Networks","addresses","1"
"P055","INST_Ghent_University","from","1"
"P056","MAT_Carrageenan","studies","1"
"P056","MAT_M__4_20_10__Da_","studies","1"
"P056","MAT_NaOH_urea_solvent","studies","1"
"P056","MAT_epichlorohydrin__crosslinker","studies","1"
"P056","MAT_KCl","studies","1"
"P056","METH_Freeze_thawing_dissolution","uses","1"
"P056","METH_stepwise_mechanical_training","uses","1"
"P056","METH_SEM","uses","1"
"P056","METH_XRD","uses","1"
"P056","METH_AFM","uses","1"
"P056","METH_NMR","uses","1"
"P056","METH_SAXS","uses","1"
"P056","METH_TGA","uses","1"
"P056","METH_Tensile_Testing","uses","1"
"P056","CONC_Toughness","addresses","1"
"P056","CONC_Fracture_Mechanics","addresses","1"
"P056","INST_North_University_of_China","from","1"
"P057","MAT_PEG","studies","1"
"P057","MAT_000_","studies","1"
"P057","MAT_N_isopropylacrylamide","studies","1"
"P057","MAT_PNIPAAm","studies","1"
"P057","METH_SEC_GPC","uses","1"
"P057","METH_DLS","uses","1"
"P057","METH_SEM","uses","1"
"P057","METH_AFM","uses","1"
"P057","METH_swelling_tests","uses","1"
"P057","METH_Tensile_Testing","uses","1"
"P057","METH_cycle_tests","uses","1"
"P057","CONC_Topology","addresses","1"
"P057","CONC_Crosslinking","addresses","1"
"P057","INST_Kansai_University","from","1"
"P058","MAT_Polycation","studies","1"
"P058","MAT_polyanion","studies","1"
"P058","MAT_Ionic_Liquids","studies","1"
"P058","MAT_IL_","studies","1"
"P058","MAT_dioctylphthalate","studies","1"
"P058","METH_Hot_pressing","uses","1"
"P058","METH_TGA","uses","1"
"P058","METH_DMA","uses","1"
"P058","METH_Tensile_Testing","uses","1"
"P058","METH_WAXD","uses","1"
"P058","METH_XPS","uses","1"
"P058","METH_SAXS","uses","1"
"P058","METH_SEM","uses","1"
"P058","CONC_Phase_Separation","addresses","1"
"P058","CONC_Recyclability","addresses","1"
"P058","INST_Wageningen_University_and_Research","from","1"
"P060","MAT_PVA","studies","1"
"P060","METH_DMA","uses","1"
"P060","METH_NMR","uses","1"
"P060","METH_XPS","uses","1"
"P060","METH_MD_Simulation","uses","1"
"P060","METH_Tensile_Testing","uses","1"
"P060","METH_EIS","uses","1"
"P060","METH_NMR","uses","1"
"P060","CONC_Hydrogen_Bonding","addresses","1"
"P060","CONC_Self_Healing","addresses","1"
"P060","CONC_Ionic_Electronic_Conductivity","addresses","1"
"P060","INST_CAS_Beijing","from","1"
"P061","MAT_Organogels","studies","1"
"P061","MAT_Ionogels","studies","1"
"P061","MAT_PEG","studies","1"
"P061","MAT_fluorogels","studies","1"
"P061","MAT_magnetogels","studies","1"
"P061","MAT_Hydrogels","studies","1"
"P061","MAT_bigels_","studies","1"
"P061","METH_Review_article_covering_classification","uses","1"
"P061","METH_properties","uses","1"
"P061","METH_and_applications","uses","1"
"P061","CONC_Ionic_Electronic_Conductivity","addresses","1"
"P061","INST_KIT_Karlsruhe","from","1"
"P062","MAT_Acrylamide__AAm","studies","1"
"P062","MAT_15_wt__","studies","1"
"P062","MAT_NaAc_3H_O_crystals","studies","1"
"P062","MAT_DMAPS","studies","1"
"P062","MAT_agar","studies","1"
"P062","MAT_CMC","studies","1"
"P062","MAT_Na_S_O__5H_O","studies","1"
"P062","MAT_MgSO__7H_O","studies","1"
"P062","METH_UV_polymerization","uses","1"
"P062","METH_XRD","uses","1"
"P062","METH_SEM","uses","1"
"P062","METH_Tensile_Testing","uses","1"
"P062","METH_EIS","uses","1"
"P062","METH_NMR","uses","1"
"P062","METH_molecular_simulation","uses","1"
"P062","METH_3D_Printing","uses","1"
"P062","CONC_Crystallization","addresses","1"
"P062","CONC_Toughness","addresses","1"
"P062","CONC_Ionic_Electronic_Conductivity","addresses","1"
"P062","INST_Tongji_University","from","1"
"P063","MAT_Poly_2_ethyl_trimethylammonium_chloride_","studies","1"
"P063","MAT_Hydrogels","studies","1"
"P063","MAT_25_wt__polymer_","studies","1"
"P063","METH_AFM","uses","1"
"P063","METH_TEM","uses","1"
"P063","METH_SAXS","uses","1"
"P063","METH_NMR","uses","1"
"P063","METH_SLS","uses","1"
"P063","METH_DSC","uses","1"
"P063","METH_Rheology","uses","1"
"P063","METH_compression_tensile_cycling","uses","1"
"P063","CONC_Self_Healing","addresses","1"
"P063","CONC_Crosslinking","addresses","1"
"P063","INST_Tsinghua_University","from","1"
"P064","MAT_Review_covering_ions","studies","1"
"P064","MAT_solvents","studies","1"
"P064","MAT_monomers","studies","1"
"P064","MAT_Hydrogels","studies","1"
"P064","METH_Review_article_organizing_toughening_str","uses","1"
"P064","CONC_Phase_Separation","addresses","1"
"P064","CONC_Crystallization","addresses","1"
"P064","CONC_Fracture_Mechanics","addresses","1"
"P064","CONC_Crosslinking","addresses","1"
"P064","CONC_Polymer_Networks","addresses","1"
"P064","CONC_Fillers","addresses","1"
"P064","CONC_Soft_Robotics","addresses","1"
"P064","INST_Sichuan_University","from","1"
"P065","MAT_6_pyridinetricarboxaldehyde____","studies","1"
"P065","MAT___dinitroalkanes","studies","1"
