id,type,label,category,year,journal
"CONC_Sustainability","Concept","Sustainability","concept","",""
"INST_University_of_Minnesota","Institution","University of Minnesota","institution","",""
"P024","Paper","50th Anniversary Perspective: Polymer Brushes: Novel Surfaces for Future Materials","polymer_brush","2017","Macromolecules 2017, 50, 4089-4113"
"MAT_Polymer_Brushes","Material","Polymer Brushes","material","",""
"MAT_PBA","Material","PBA","material","",""
"MAT_PSPMA_","Material","PSPMA)","material","",""
"MAT_initiator_modified_substrates","Material","initiator-modified substrates","material","",""
"METH_SI_NMP","Method","SI-NMP","method","",""
"METH_SI_PIMP","Method","SI-PIMP","method","",""
"METH_light_mediated_CRP","Method","light-mediated CRP","method","",""
"METH_ellipsometry","Method","ellipsometry","method","",""
"METH_QCM_D","Method","QCM-D","method","",""
"INST_Cornell_University","Institution","Cornell University","institution","",""
"P025","Paper","50th Anniversary Perspective: Polymer Crystals and Crystallization","polymer_crystallization","2017","Macromolecules 2017, 50, 5995-6025"
"MAT_iPP___","Material","iPP (α","material","",""
"MAT___phases_","Material","γ phases)","material","",""
"MAT_PLLA","Material","PLLA","material","",""
"MAT_st_PP","Material","st-PP","material","",""
"MAT_iPBu","Material","iPBu","material","",""
"MAT_i_P2VP","Material","i-P2VP","material","",""
"METH_electron_diffraction","Method","electron diffraction","method","",""
"METH_synchrotron_X_ray","Method","synchrotron X-ray","method","",""
"METH_epitaxial_crystallization","Method","epitaxial crystallization","method","",""
"METH_dark_field_imaging","Method","dark field imaging","method","",""
"INST_CNRS_Strasbourg","Institution","CNRS Strasbourg","institution","",""
"P026","Paper","50th Anniversary Perspective: Polymer Functionalization","polymerization","2017","Macromolecules 2017, 50, 5215-5252"
"MAT_Poly","Material","Poly","material","",""
"MAT_poly","Material","poly","material","",""
"MAT_activated_esters","Material","activated esters","material","",""
"MAT_squaric_esters","Material","squaric esters","material","",""
"METH_Post_polymerization_modification","Method","Post-polymerization modification","method","",""
"METH_CuAAC","Method","CuAAC","method","",""
"METH_thiol_ene","Method","thiol-ene","method","",""
"METH_NHS_ester_amidation","Method","NHS-ester amidation","method","",""
"METH_PFP_transesterification","Method","PFP transesterification","method","",""
"INST_QUT","Institution","QUT","institution","",""
"P027","Paper","50th Anniversary Perspective: Conducting/Semiconducting Conjugated Polymers","conducting_polymer","2017","Macromolecules 2017, 50, 4867-4886"
"MAT_Polyacetylene","Material","Polyacetylene","material","",""
"MAT_polyaniline","Material","polyaniline","material","",""
"MAT_PPV","Material","PPV","material","",""
"METH_Conductivity_Measurement","Method","Conductivity Measurement","method","",""
"METH_band_gap_engineering","Method","band gap engineering","method","",""
"METH_resonance_structure_analysis","Method","resonance structure analysis","method","",""
"METH_doping","Method","doping","method","",""
"CONC_Ionic_Electronic_Conductivity","Concept","Ionic/Electronic Conductivity","concept","",""
"INST_MIT","Institution","MIT","institution","",""
"P028","Paper","50th Anniversary Perspective: Advanced Polymer Fibers","other","2017","Macromolecules 2017, 50, 5627-5642"
"MAT_PAN","Material","PAN","material","",""
"MAT_pitch","Material","pitch","material","",""
"MAT_rayon_precursors_","Material","rayon precursors)","material","",""
"MAT_Kevlar","Material","Kevlar","material","",""
"MAT_Nomex","Material","Nomex","material","",""
"MAT_PBO","Material","PBO","material","",""
"MAT_PIPD","Material","PIPD","material","",""
"MAT_UHMWPE","Material","UHMWPE","material","",""
"MAT_Vectran","Material","Vectran","material","",""
"METH_Dry_jet_wet_spinning","Method","Dry-jet wet spinning","method","",""
"METH_gel_spinning","Method","gel spinning","method","",""
"METH_Electrospinning","Method","Electrospinning","method","",""
"METH_melt_spinning","Method","melt spinning","method","",""
"METH_carbonization","Method","carbonization","method","",""
"P029","Paper","50th Anniversary Perspective: Challenges in the Dynamics and Kinetics of Glass-Forming Polymers","glass_transition","2017","Macromolecules 2017, 50, 6333-6361"
"MAT_Polystyrene","Material","Polystyrene","material","",""
"MAT_polybutadiene","Material","polybutadiene","material","",""
"MAT_atactic_polypropylene","Material","atactic polypropylene","material","",""
"METH_dilatometry","Method","dilatometry","method","",""
"METH_Dielectric_Spectroscopy","Method","Dielectric Spectroscopy","method","",""
"METH_viscoelastic_spectroscopy","Method","viscoelastic spectroscopy","method","",""
"METH_creep_compliance","Method","creep compliance","method","",""
"CONC_Glass_Transition","Concept","Glass Transition","concept","",""
"INST_Texas_Tech_University","Institution","Texas Tech University","institution","",""
"P030","Paper","50th Anniversary Perspective: Living Polymerization Emphasizing the Molecule in Macromolecules","ionic_material","2017","Macromolecules 2017, 50, 6979-6997"
"MAT_various_monomers_for_living_polymerizati","Material","various monomers for living polymerization","material","",""
"METH_Anionic_Polymerization","Method","Anionic Polymerization","method","",""
"METH_cationic_polymerization","Method","cationic polymerization","method","",""
"METH_ROMP","Method","ROMP","method","",""
"METH_NMP","Method","NMP","method","",""
"INST_Stony_Brook_University","Institution","Stony Brook University","institution","",""
"P031","Paper","Solid-State Multistimuli, Multiresponsive Polymeric Materials","self_healing","2017","Macromolecules 2017, 50, 8845-8870"
"MAT_Stimuli_responsive_polymers","Material","Stimuli-responsive polymers","material","",""
"MAT_self_healing_polymers","Material","self-healing polymers","material","",""
"MAT_mechanochromic_polymers","Material","mechanochromic polymers","material","",""
"MAT_photonic_crystals","Material","photonic crystals","material","",""
"MAT_Liquid_Crystal_Elastomers","Material","Liquid Crystal Elastomers","material","",""
"METH_Shape_memory_programming_recovery","Method","Shape memory programming/recovery","method","",""
"METH_scratch_healing_tests","Method","scratch healing tests","method","",""
"METH_fluorescence_spectroscopy","Method","fluorescence spectroscopy","method","",""
"METH_photonic_crystal_characterization","Method","photonic crystal characterization","method","",""
"CONC_Mechanochromism","Concept","Mechanochromism","concept","",""
"CONC_Transport_Properties","Concept","Transport Properties","concept","",""
"INST_University_of_Chicago","Institution","University of Chicago","institution","",""
"P032","Paper","Polymers and Mixed Matrix Membranes for Gas and Vapor Separation","other","2017","Macromolecules 2017, 50, 7809-7843"
"MAT_Polysulfone","Material","Polysulfone","material","",""
"MAT_Cellulose","Material","Cellulose","material","",""
"MAT_PTMSP","Material","PTMSP","material","",""
"MAT_PPO","Material","PPO","material","",""
"MAT_mixed_matrix_membranes","Material","mixed matrix membranes","material","",""
"MAT_MOFs","Material","MOFs","material","",""
"MAT_carbon_molecular_sieves","Material","carbon molecular sieves","material","",""
"METH_Gas_permeability_testing","Method","Gas permeability testing","method","",""
"METH_pure_gas_and_mixed_gas_testing","Method","pure gas and mixed gas testing","method","",""
"METH_Robeson_upper_bound_analysis","Method","Robeson upper bound analysis","method","",""
"INST_University_of_Oklahoma","Institution","University of Oklahoma","institution","",""
"P033","Paper","RAFT Polymerization: A User Guide","block_copolymer","2017","Macromolecules 2017, 50, 7433-7447"
"MAT_RAFT_agents__dithioesters","Material","RAFT agents (dithioesters","material","",""
"MAT_trithiocarbonates","Material","trithiocarbonates","material","",""
"MAT_xanthates","Material","xanthates","material","",""
"MAT_dithiocarbamates_","Material","dithiocarbamates)","material","",""
"MAT_Polyacrylates","Material","Polyacrylates","material","",""
"MAT_acrylamides","Material","acrylamides","material","",""
"MAT_styrenes_","Material","styrenes)","material","",""
"MAT_LAMs__VAc","Material","LAMs (VAc","material","",""
"MAT_NVP","Material","NVP","material","",""
"MAT_NVC_","Material","NVC)","material","",""
"METH_block_copolymer_synthesis_by_sequential_","Method","block copolymer synthesis by sequential addition","method","",""
"INST_University_of_Warwick","Institution","University of Warwick","institution","",""
"P034","Paper","Networks and Gels: Soft but Dynamic and Tough","hydrogel","2017","Macromolecules 2017, 50, 8297-8316"
"MAT_SBR","Material","SBR","material","",""
"MAT_silicone_","Material","silicone)","material","",""
"MAT_Hydrogels","Material","Hydrogels","material","",""
"MAT_interpenetrating_networks","Material","interpenetrating networks","material","",""
"MAT_dynamic_bond_networks","Material","dynamic bond networks","material","",""
"METH_Fracture_mechanics","Method","Fracture mechanics","method","",""
"METH_uniaxial_tension","Method","uniaxial tension","method","",""
"METH_Gent_model","Method","Gent model","method","",""
"METH_Lake_Thomas_theory","Method","Lake-Thomas theory","method","",""
"METH_slip_link_model","Method","slip-link model","method","",""
"CONC_Fracture_Mechanics","Concept","Fracture Mechanics","concept","",""
"CONC_Polymer_Networks","Concept","Polymer Networks","concept","",""
"INST_CNRS_ESPCI_Paris","Institution","CNRS ESPCI Paris","institution","",""
"P035","Paper","Polymer Conformation: A Pedagogical Review","other","2017","Macromolecules 2017, 50, 9073-9114"
"MAT_Ideal_chains__FJC","Material","Ideal chains (FJC","material","",""
"MAT_Gaussian","Material","Gaussian","material","",""
"MAT_WLC_","Material","WLC)","material","",""
"MAT_real_chains_with_excluded_volume","Material","real chains with excluded volume","material","",""
"MAT_ring_polymers","Material","ring polymers","material","",""
"METH_Statistical_mechanics","Method","Statistical mechanics","method","",""
"METH_path_integral_representation","Method","path integral representation","method","",""
"METH_Flory_Huggins_theory","Method","Flory-Huggins theory","method","",""
"METH_scaling_analysis","Method","scaling analysis","method","",""
"CONC_Topology","Concept","Topology","concept","",""
"INST_California_Institute_of_Technology","Institution","California Institute of Technology","institution","",""
"P036","Paper","Block Polymers: Pure Potential","block_copolymer","2017","Macromolecules 2017, 50, 3-22"
"MAT_PEO_b_PPO_","Material","PEO-b-PPO)","material","",""
"MAT_bottlebrush_block_polymers","Material","bottlebrush block polymers","material","",""
"MAT_protein_block_polymers","Material","protein block polymers","material","",""
"INST_UC_Santa_Barbara","Institution","UC Santa Barbara","institution","",""
"P037","Paper","Polymeric Biomaterials: Diverse Functions Enabled by Advances in Macromolecular Chemistry","biomaterial","2017","Macromolecules 2017, 50, 483-502"
"MAT_PHEMA","Material","PHEMA","material","",""
"MAT_PLGA","Material","PLGA","material","",""
"MAT_PVA","Material","PVA","material","",""
"MAT_PEG","Material","PEG","material","",""
"MAT_ELPs","Material","ELPs","material","",""
"MAT_RLPs","Material","RLPs","material","",""
"MAT_polypeptides_from_NCA_polymerization","Material","polypeptides from NCA polymerization","material","",""
"METH_NCA_ring_opening_polymerization","Method","NCA ring-opening polymerization","method","",""
"METH_SPAAC","Method","SPAAC","method","",""
"METH_tetrazine_ligation","Method","tetrazine ligation","method","",""
"METH_recombinant_DNA_technology","Method","recombinant DNA technology","method","",""
"INST_University_of_Delaware","Institution","University of Delaware","institution","",""
"P038","Paper","A Perspective on Polyelectrolyte Solutions","other","2017","Macromolecules 2017, 50, 9528-9560"
"MAT_DNA","Material","DNA","material","",""
"MAT_sodium_poly_","Material","sodium poly)","material","",""
"MAT_counterions","Material","counterions","material","",""
"MAT_salt_ions","Material","salt ions","material","",""
"METH_Debye_H_ckel_theory","Method","Debye-Hückel theory","method","",""
"METH_Bjerrum_length_analysis","Method","Bjerrum length analysis","method","",""
"METH_Katchalsky_free_energy_model","Method","Katchalsky free energy model","method","",""
"METH_scaling_theory","Method","scaling theory","method","",""
"INST_University_of_Massachusetts","Institution","University of Massachusetts","institution","",""
"P039","Paper","Celebrating 50 Years of Macromolecules","block_copolymer","2017","Macromolecules 2017, 50, 9525-9527"
"MAT_N_A","Material","N/A","material","",""
"METH_N_A","Method","N/A","method","",""
"CONC_Supramolecular_Chemistry","Concept","Supramolecular Chemistry","concept","",""
"CONC_Block_Copolymers","Concept","Block Copolymers","concept","",""
"CONC_Membranes","Concept","Membranes","concept","",""
"INST_University_of_Minnesota__Editor_","Institution","University of Minnesota (Editor)","institution","",""
"P040","Paper","Editorial for Virtual Issue "50th Anniversary Perspectives"","other","2018","Macromolecules 2018, 51, 4423"
"INST_University_of_Minnesota__Editor_in_Chief","Institution","University of Minnesota (Editor-in-Chief)","institution","",""
"P041","Paper","Are Polymer Nanocomposites Practical for Applications?","polymer_crystallization","2017","Macromolecules 2017, 50, 714-731"
"MAT_Polymer_nanocomposites___silica","Material","Polymer nanocomposites : silica","material","",""
"MAT_titania","Material","titania","material","",""
"MAT_C60","Material","C60","material","",""
"MAT_Carbon_Nanotubes","Material","Carbon Nanotubes","material","",""
"MAT_clay","Material","clay","material","",""
"MAT_Graphene","Material","Graphene","material","",""
"MAT_metal_oxide_NPs_in_various_polymer_matri","Material","metal oxide NPs in various polymer matrices","material","",""
"CONC_Reinforcement","Concept","Reinforcement","concept","",""
"INST_Columbia_University","Institution","Columbia University","institution","",""
"P042","Paper","Aromatic Heterocyclic Polymer Materials: Structure and Molecular Design","other","2000","Book chapter (Japanese), ~2000s"
"MAT_PPTA","Material","PPTA","material","",""
"MAT_PBZT","Material","PBZT","material","",""
"MAT_co_polyaramid","Material","co-polyaramid","material","",""
"METH_Lattice_dynamics","Method","Lattice dynamics","method","",""
"METH_molecular_mechanics","Method","molecular mechanics","method","",""
"METH_X_ray_diffraction","Method","X-ray diffraction","method","",""
"METH_Raman_spectroscopy","Method","Raman spectroscopy","method","",""
"METH_crystal_elastic_modulus_calculation","Method","crystal elastic modulus calculation","method","",""
"P043","Paper","A Theory of the Linear Viscoelastic Properties of Dilute Solutions of Coiling Polymers","rheology","1953","J. Chem. Phys. 1953, 21, 1272-1280"
"MAT_Coiling_polymers_in_dilute_solution__pol","Material","Coiling polymers in dilute solution (polystyrene","material","",""
"MAT_polyisobutylene_","Material","polyisobutylene)","material","",""
"METH_Submolecule_concept","Method","Submolecule concept","method","",""
"METH_orthogonal_transformation","Method","orthogonal transformation","method","",""
"METH_normal_mode_analysis","Method","normal mode analysis","method","",""
"CONC_Entanglement","Concept","Entanglement","concept","",""
"CONC_Relaxation_Dynamics","Concept","Relaxation Dynamics","concept","",""
"INST_The_Franklin_Institute","Institution","The Franklin Institute","institution","",""
"P044","Paper","Reversible Thiyl Radical Addition-Fragmentation Chain Transfer Polymerization","block_copolymer","2024","Angew. Chem. Int. Ed. 2024, e202318898"
"MAT_Cyclic_allylic_sulfides","Material","Cyclic allylic sulfides","material","",""
"MAT_allyl_sulfide_CTAs","Material","allyl sulfide CTAs","material","",""
"MAT_thiyl_radicals","Material","thiyl radicals","material","",""
"METH_NMR","Method","NMR","method","",""
"METH_MALDI_TOF","Method","MALDI-TOF","method","",""
"METH_DFT","Method","DFT","method","",""
"METH_chain_extension","Method","chain extension","method","",""
"INST_Sun_Yat_Sen_University","Institution","Sun Yat-Sen University","institution","",""
"P045","Paper","Sticky Rouse Model and Molecular Simulation for Linear Viscoelasticity of Associative Polymers","polymer_simulation","2025","Polymer Bulletin (Chinese) 2025, 38(2), 284-297"
"MAT_Associative_polymers","Material","Associative polymers","material","",""
"MAT_Ionomers","Material","Ionomers","material","",""
"MAT_HEUR","Material","HEUR","material","",""
"MAT_hydrogen_bonding_polymers","Material","hydrogen-bonding polymers","material","",""
"METH_Sticky_Rouse_model","Method","Sticky Rouse model","method","",""
"METH_MD_Simulation","Method","MD Simulation","method","",""
"METH_graph_theory_for_eigenvalue_analysis","Method","graph theory for eigenvalue analysis","method","",""
"CONC_Rheology","Concept","Rheology","concept","",""
"INST_Fudan_University","Institution","Fudan University","institution","",""
"P046","Paper","Sticky Rouse Model and Molecular Dynamics Simulation for Dual Polymer Networks","polymer_simulation","2022","Macromolecules 2022, 55, 535-549"
"MAT_Dual_polymer_networks","Material","Dual polymer networks","material","",""
"MAT_phantom_networks","Material","phantom networks","material","",""
"MAT_dendrimer_models","Material","dendrimer models","material","",""
"METH_Modified_SRM","Method","Modified SRM","method","",""
"METH_graph_theory_for_eigenvalues","Method","graph theory for eigenvalues","method","",""
"METH_FENE_potential","Method","FENE potential","method","",""
"CONC_Viscoelasticity","Concept","Viscoelasticity","concept","",""
"P047","Paper","Preparation of a Tough Elastomer by the Introduction of Multiple Flexible Hydrogen Bonds via Simple ","block_copolymer","","(Polymer/ACS), supporting info"
"MAT_Epoxidized_polybutadiene","Material","Epoxidized polybutadiene","material","",""
"MAT_VAA__modified_PB","Material","VAA  modified PB","material","",""
"METH_Epoxidation_with_mCPBA","Method","Epoxidation with mCPBA","method","",""
"METH_ring_opening_with_amines__ethylamine","Method","ring-opening with amines (ethylamine","method","",""
"METH_butylamine","Method","butylamine","method","",""
"METH_diethylamine_","Method","diethylamine)","method","",""
"INST_University_of_Tokyo","Institution","University of Tokyo","institution","",""
"P048","Paper","Rouse Mode Analysis of Chain Relaxation in Reversibly Crosslinked Polymer Melts","polymer_simulation","2025","Phys. Chem. Chem. Phys. 2025, 27, 6777-6785"
"MAT_Kremer_Grest_bead_spring_polymer_melt_wi","Material","Kremer-Grest bead-spring polymer melt with reversible crossl","material","",""
"METH_Hybrid_MD_Monte_Carlo_simulation","Method","Hybrid MD-Monte Carlo simulation","method","",""
"METH_Rouse_mode_analysis","Method","Rouse mode analysis","method","",""
"METH_FENE_bonds","Method","FENE bonds","method","",""
"METH_LJ_potential","Method","LJ potential","method","",""
"INST_IIT_Madras","Institution","IIT Madras","institution","",""
"P049","Paper","Recycling of Polyurethanes: Where We Are and Where We Are Going","tpu_elastomer","2024","Green Chemistry 2024, 26, 1132-1152"
"MAT_thermosetting_PU_foams","Material","thermosetting PU foams","material","",""
"METH_Mechanical_recycling__extrusion","Method","Mechanical recycling (extrusion","method","",""
"METH_compression","Method","compression","method","",""
"METH_injection_moulding_","Method","injection moulding)","method","",""
"METH_glycolysis","Method","glycolysis","method","",""
"METH_hydrolysis","Method","hydrolysis","method","",""
"METH_physical_recycling","Method","physical recycling","method","",""
"METH_biodegradation","Method","biodegradation","method","",""
"CONC_Biodegradability","Concept","Biodegradability","concept","",""
"INST_University_of_Padova","Institution","University of Padova","institution","",""
"P050","Paper","Nonlinear Shear Rheology of Concentrated PVA/Borax Aqueous Solution: Nonlinearity of Sticky Rouse Re","rheology","2023","J. Non-Newtonian Fluid Mech. 2023, 316, 105012"
"MAT_C_borax_15_mM_","Material","C_borax=15 mM)","material","",""
"METH_start_up_flow","Method","start-up flow","method","",""
"METH_flow_cessation","Method","flow cessation","method","",""
"METH_step_strain","Method","step strain","method","",""
"METH_rheo_dielectric_measurements","Method","rheo-dielectric measurements","method","",""
"INST_Changchun_Institute_of_Applied_Chemistry","Institution","Changchun Institute of Applied Chemistry","institution","",""
"P051","Paper","Synthesis of a Photo-Crosslinkable Elastomer for Stretchable Electronics and Its Use in Strain-Insen","other","2024","Adv. Funct. Mater. 2024, 2312034"
"MAT_DPHA","Material","DPHA","material","",""
"MAT_SEBS","Material","SEBS","material","",""
"MAT_spiropyran","Material","spiropyran","material","",""
"METH_UV_photomask_patterning","Method","UV photomask patterning","method","",""
"METH_capacitance_measurement","Method","capacitance measurement","method","",""
"METH_mechanical_cycling","Method","mechanical cycling","method","",""
"CONC_Fatigue_Resistance","Concept","Fatigue Resistance","concept","",""
"CONC_Interfaces","Concept","Interfaces","concept","",""
"CONC_Sensing","Concept","Sensing","concept","",""
"INST_Seoul_National_University","Institution","Seoul National University","institution","",""
"P052","Paper","Robust and Fast-Transforming Soft Microrobots Driven by Low Magnetic Field","self_healing","2025","Adv. Mater. 2025, 37, 2505193"
"MAT_Single_domain_NdFeB_nanoparticles","Material","Single-domain NdFeB nanoparticles","material","",""
"MAT_PAM","Material","PAM","material","",""
"MAT_gold_nanoparticles","Material","gold nanoparticles","material","",""
"MAT_acrylamide_monomer","Material","acrylamide monomer","material","",""
"METH_Ball_milling_for_SD_MD_particle_preparat","Method","Ball milling for SD/MD particle preparation","method","",""
"METH_magnetic_hysteresis_loops","Method","magnetic hysteresis loops","method","",""
"METH_3D_Printing","Method","3D Printing","method","",""
"CONC_Self_Healing","Concept","Self-Healing","concept","",""
"CONC_Biocompatibility","Concept","Biocompatibility","concept","",""
"CONC_Actuation","Concept","Actuation","concept","",""
"INST_Hefei_University_of_Technology","Institution","Hefei University of Technology","institution","",""
"P053","Paper","Mechanically Robust, Readily Repairable Polymers via Tailored Noncovalent Cross-linking","polymer_crystallization","2018","Science 2018, 359, 72-76"
"MAT_Poly_TUEG___Mn_9500","Material","Poly TUEG₃ (Mn=9500","material","",""
"MAT_Mw_22300_","Material","Mw=22300)","material","",""
"MAT_TUEG_","Material","TUEG₂","material","",""
"MAT_poly_TUC_","Material","poly TUC₈","material","",""
"MAT_TUC__","Material","TUC₁₂","material","",""
"MAT_poly_UEG_","Material","poly UEG₃","material","",""
"METH_XRD","Method","XRD","method","",""
"METH_rheometer_based_healing_test","Method","rheometer-based healing test","method","",""
"CONC_Adhesion","Concept","Adhesion","concept","",""
"INST_The_University_of_Tokyo","Institution","The University of Tokyo","institution","",""
"P054","Paper","Low-Temperature Solid-State Polycondensation Synthesis of Non-Isocyanate Polyurethanes: A Pathway to","polymer_crystallization","2025","Macromolecules 2025 (DOI: 10.1021/acs.macromol.5c02415)"
"MAT_Non_isocyanate_polys","Material","Non-isocyanate polys","material","",""
"MAT_biscarbamate","Material","biscarbamate","material","",""
"MAT_oligo_diol__OCD","Material","oligo diol (OCD","material","",""
"MAT_Mn_2000_","Material","Mn=2000)","material","",""
"MAT_titanium_tert_butoxide_catalyst","Material","titanium tert-butoxide catalyst","material","",""
"METH_Solid_state_polycondensation","Method","Solid-state polycondensation","method","",""
"METH_melt_polycondensation","Method","melt polycondensation","method","",""
"METH_WAXS","Method","WAXS","method","",""
