paper_id,english_safe_file_name,original_file_name,title,authors,journal,year,DOI,keywords,research_field,material_system,core_topic,preliminary_category,readable_status,notes
P027,P027_unidentified.pdf,Ma 17 5627–5642 Advanced Polymer Fibers High Performance and Ultrafine.pdf,Perspective,"Department of Chemical Engineering, Massachusetts Institute of Technology, 77 Massachusetts Ave., Cambridge, Massachusetts",Macromolecules,2017,10.1021/acs.macromol.7b00864,,,,,other,readable,
P028,P028_unidentified.pdf,Ma 17 5995–6025  Polymer Crystals and Crystallization Personal Journeys in a Challenging Research Field.pdf,Perspective,,Science,2017,10.1021/acs.macromol.7b00907,,,,,crystallization,readable,
P029,P029_unidentified.pdf,Ma 17 6333–6361  Challenges in the Dynamics and Kinetics of Glass-Forming Polymers.pdf,Perspective,"Department of Chemical Engineering, Texas Tech University, Lubbock, Texas 79409-3121, United States",Nature,2017,10.1021/acs.macromol.7b01014,,,,,crystallization,readable,
P030,P030_unidentified.pdf,Ma 17 6979–6997  Living Polymerization Emphasizing the Molecule in Macromolecules.pdf,"This is an open access article published under an ACS AuthorChoice License, which permits",,Macromolecules,2017,10.1021/acs.macromol.7b01440,,,,,crystallization,readable,
P031,P031_unidentified.pdf,Ma 17 7433–7447  RAFT Polymerization A User Guide.pdf,"This is an open access article published under an ACS AuthorChoice License, which permits","Cite This: Macromolecules 2017, 50, 7433-7447 pubs.acs.org/Macromolecules",Science,2017,10.1021/acs.macromol.7b00767,,,,,other,readable,
P032,P032_unidentified.pdf,Ma 17 7809–7843  Polymers and Mixed Matrix Membranes for Gas and Vapor Separation A Review and Prospective Opportunities.pdf,"This is an open access article published under an ACS AuthorChoice License, which permits","Cite This: Macromolecules 2017, 50, 7809-7843 pubs.acs.org/Macromolecules",Science,2017,10.1021/acs.macromol.7b01718,,,,,other,readable,
P033,P033_unidentified.pdf,Ma 17 8297–8316 Networks and Gels Soft but Dynamic and Tough.pdf,Perspective,"Cite This: Macromolecules 2017, 50, 8297-8316 pubs.acs.org/Macromolecules",Science,2017,10.1021/acs.macromol.7b01698,,,,,gel,readable,
P034,P034_unidentified.pdf,Ma 17 8845–8870 Solid-State Multistimuli Multiresponsive Polymeric Materials.pdf,Perspective,"Cite This: Macromolecules 2017, 50, 8845-8870 pubs.acs.org/Macromolecules",Science,2017,10.1021/acs.macromol.7b01607,,,,,other,readable,
P035,P035_unidentified.pdf,Ma 17 9073–9114 Polymer Conformation A Pedagogical Review.pdf,Perspective,"Division of Chemistry and Chemical Engineering, California Institute of Technology, Pasadena, California 91125, United States",Science,2017,10.1021/acs.macromol.7b01518,,,,,other,readable,
P036,P036_unidentified.pdf,Ma 17 9528–9560 A Perspective on Polyelectrolyte Solutions.pdf,"This is an open access article published under an ACS AuthorChoice License, which permits","CiteThis:Macromolecules2017,50,9528−9560",Science,2017,10.1021/acs.macromol.7b01929,,,,,other,readable,
P037,P037_unidentified.pdf,ma 17 3-22 Block Polymers-Pure Potential.pdf,"This is an open access article published under an ACS AuthorChoice License, which permits","Christopher M. Bates*,†,‡ and Frank S. Bates*,§",Science,2016,10.1021/acs.macromol.6b02355,,,,,other,readable,
P038,P038_unidentified.pdf,ma 17 483-502 Polymeric Biomaterials Diverse Functions Enabled by Advances in Macromolecular Chemistry.pdf,Perspective,,Science,2017,10.1021/acs.macromol.6b02389,,,,,biocompatibility,readable,
P039,P039_unidentified.pdf,ma 17 714–731 Are Polymer Nanocomposites Practical.pdf,Perspective,"Department of Chemical Engineering, Columbia University, New York, New York 10027, United States",Science,2017,10.1021/acs.macromol.6b02330,,,,,crystallization,readable,
P040,P040_unidentified.pdf,ma 17 9525 50 Years of Macromolecules.pdf,"CiteThis:Macromolecules2017,50,9525−9527","CiteThis:Macromolecules2017,50,9525−9527",Science,2017,10.1021/acs.macromol.7b02507,,,,,rheology,readable,
P041,P041_unidentified.pdf,ma 18 4423 50th Anniversary Perspectives  .pdf,"CiteThis:Macromolecules2018,51,4423−4423","CiteThis:Macromolecules2018,51,4423−4423",Science,2018,10.1021/acs.macromol.8b01202,,,,,other,readable,
P042,P042_unidentified.pdf,PI-基础应用（日文版）_OCR .pdf-页面提取(1).pdf,芳香複素環高分子材料の構造 分子,,,,,,,,,other,readable,
P043,P043_unidentified.pdf,SRAFT.pdf,A Journal of the Gesellschaft Deutscher Chemiker,"Authors:Yongjin Wang, Jiaman Du, and Hanchu Huang",Science,2024,10.1002/anie.202318898,,,,,other,readable,
P044,P044_unidentified.pdf,Sticky Rouse 模型与双聚合物网络的分子动力学模拟.pdf,pubs.acs.org/Macromolecules Article,"Jingyu Shao, Nuofei Jiang, Hongdong Zhang, Yuliang Yang, and Ping Tang",Macromolecules,2022,10.1021/acs.macromol.1c02059,,,,,self_healing,readable,
P045,P045_unidentified.pdf,Sticky_Rouse模型及分子模拟在缔合高分子线性粘弹性行为中的研究进展_张璐.pdf,第 38卷 第 2 期,,Science,2025,10.14028/j.cnki.1003-3726.2024.24.289,,,,,self_healing,readable,
P046,P046_unidentified.pdf,卷曲聚合物稀溶液的线性粘弹性理论.pdf,RESEARCH ARTICLE | JULY 01 1953,,Polymer,2002,10.1063/1.1699180,,,,,other,readable,
P047,P047_unidentified.pdf,可逆交联聚合物熔体中链松弛的rouse模型分析.pdf,Rouse mode analysis of chain relaxation in,"2025, 27, 6777 Rahul Karmakar, ab Srikanth Sastry, c Sanat K. Kumar *d and",Polymer,2025,10.1039/d5cp00632e,,,,,self_healing,readable,
P048,P048_unidentified.pdf,浓聚乙烯醇 — 硼砂水溶液的非线性剪切流变学：sticky Rouse松弛的非线性.pdf,JournalofNon-NewtonianFluidMechanics316(2023)105012,"Yanjie Zhanga,b, Quan Chena,b,*, Hiroshi Watanabea,c,*",Science,2023,10.1016/j.jnnfm.2023.105012,,,,,rheology,readable,
P049,P049_unidentified.pdf,TPU.pdf,Green Chemistry,"Citethis:GreenChem.,2024,26,",Polymer,2024,10.1039/d3gc02091f,,,,,polyurethane,readable,
P050,P050_unidentified.pdf,ma5c01964_si_001.pdf,1 Supporting Information,"4 Dian Zhang,a Shintaro Nakagawa,a Hirohiko Houjou,a and Naoko Yoshie,a,*",Science,,,,,,,supplementary,readable,supplementary_material
P051,P051_unidentified.pdf,science 自修复.pdf,POLYMERS able.Somehealablematerialswithhighme-,"ever,inmostcases,heatingtohightemperatures",Polymer,2018,,,,,,elastomer,readable,
P052,P052_unidentified.pdf,低温固态缩聚法合成非异氰酸酯聚氨酯：通往高摩尔质量、优异性能与可再加工性的新途径.pdf,pubs.acs.org/Macromolecules Article,"Dominik Wołosz,* Aleksandra Marta Fage, Grzegorz Węgrzyk, Martyna Musiatowicz,",Macromolecules,2025,10.1021/acs.macromol.5c02415,,,,,polyurethane,readable,
P053,P053_unidentified.pdf,低磁场驱动的坚固且快速变形的软体微型机器人.pdf,RESEARCH ARTICLE,"Yuanyuan Wang, Haili Qin,* Niu Liu, Qin-Nan Hu, Huai-Ping Cong,* and Shu-Hong Yu*",Science,2025,10.1002/adma.202505193,,,,,other,readable,
P054,P054_unidentified.pdf,Adv Funct Materials - 2024 - Park - Synthesis of a Photo‐Crosslinkable Elastomer for Stretchable Electronics and Its Use in.pdf,RESEARCH ARTICLE,"Hyon-Gyu Park, Minsung Kim, Hayeong Park, and Joon Hak Oh*",,2024,10.1002/adfm.202312034,,,,,elastomer,readable,
P055,P055_unidentified.pdf,Angew Chem Int Ed - 2024 - Engelen - Vinylogous Urea ‐ Urethane Vitrimers  Accelerating and Inhibiting Network Dynamics.pdf,A Journal of the Gesellschaft Deutscher Chemiker,"Authors:Stéphanie Engelen, Neil D. Dolinski, Chuqiao Chen, Elina",Angewandte Chemie International Edition,2024,10.1002/anie.202318412,,,,,gel,readable,
P056,P056_unidentified.pdf,Angew Chem Int Ed 拓扑凝胶.pdf,A Journal of the Gesellschaft Deutscher Chemiker,"Authors:Yuichi Ohya, Ryota Dohi, Fumika Seko, Yuto Nakazawa, Ken-",Science,2024,10.1002/anie.202317045,,,,,gel,readable,
P057,P057_unidentified.pdf,sciadv.a 阴阳离子凝胶.pdf,Science AdvAnceS | ReSeAR ch AR ticLe,"Sophie G. M. van Lange1 *, Diane W. te Brake1, Giuseppe Portale2, Anbazhagan Palanisamy1, Science. no claim to",Nature,2024,,,,,,gel,readable,
P058,P058_unidentified.pdf,1-s2.0-S014486172300334X-main.pdf,Journal Pre-proof,"Qingye Liu, Jianfeng Zhang, Yarui Hou, Xiaohui Wang, Xiaojun",Polymer,2023,10.1016/j.carbpol.2023.120869,,,,,gel,readable,
P059,P059_unidentified.pdf,Adv Funct Materials - 2023 - Kuzina - Organogels versus Hydrogels  Advantages  Challenges  and Applications.pdf,www.afm-journal.de,"Organogels versus Hydrogels: Advantages, Challenges,",,2023,10.1002/adfm.202301421,,,,,gel,readable,
P060,P060_unidentified.pdf,Advanced Materials - 2019 - Wei - Dissolution Crystallization Transition within a Polymer Hydrogel for a Processable.pdf,CommuniCation,"Junjie Wei, Gumi Wei, Yinghui Shang, Jie Zhou, Chu Wu, and Qigang Wang*",Polymer,2019,10.1002/adma.201900248,,,,,crystallization,readable,
P061,P061_unidentified.pdf,Advanced Materials - 2022 - Wang - Ultra‐Stretchable and Fast Self‐Healing Ionic Hydrogel in Cryogenic Environments for.pdf,ReseaRch aRticle,"Chan Wang, Ying Liu, Xuecheng Qu, Bojing Shi, Qiang Zheng, Xubo Lin, Shengyu Chao,",,2022,10.1002/adma.202105416,,,,,gel,readable,
P062,P062_unidentified.pdf,Advanced Materials - 2023 - Wang - Ultra‐Stretchable and Fast Self‐Healing Ionic Hydrogel in Cryogenic Environments for.pdf,www.advmat.de,"Chan Wang, Ying Liu, Xuecheng Qu, Bojing Shi, Qiang Zheng, Xubo Lin, Shengyu Chao,",Advanced Materials,2023,10.1002/adma.202105416,,,,,gel,readable,
P063,P063_unidentified.pdf,Macromolecular Rapid Communications - 2023 - Qi - Self‐healable  Regenerable  and Degradable Dynamic Covalent Nitroalcohol.pdf,"Self-healable, Regenerable, and Degradable Dynamic Covalent Nitroalcohol","olof_ramstrom@uml.edu; ²Department of Plastics Engineering, University of Massachusetts Lowell, One University Ave.,",Science,2023,10.1002/marc.202300011,,,,,gel,readable,
P064,P064_unidentified.pdf,"低场核磁,SAXS,具有超大可逆双轴应变的超弹性水凝胶.pdf",HYDROGELS alkyl-watercontactsandmaximizefavorable,"LiliChen,ZhekaiJin,WenwenFeng,LinSun,HaoXu,ChaoWang* water-scarceconditionswereconfirmedusing",Polymer,2024,,,,,,gel,readable,
P065,P065_unidentified.pdf,小分子水凝胶增韧.pdf,View Article Online,"This article can be cited before page numbers have been issued, to do this please use: Z. Sha, X. Chen, H.",Nature,2025,10.1039/D5MH00588D,,,,,gel,readable,
P066,P066_unidentified.pdf,通过保护性域的形成锁定坚韧水凝胶中的聚集状态.pdf,Materials Today xxx (xxxx) xxx,"Hao Nan Qiua,1, Chuan Wei Zhanga,1, Lixin Daia, Yichen Yana, Ping Hea, Ruoyi Kea,",Nature,2025,10.1016/j.mattod.2025.12.005,,,,,gel,readable,
P067,P067_unidentified.pdf,通过盐析效应与原位聚合协同作用制备的高稳定性和环境耐受性导电聚合物有机水凝胶.pdf,pubs.acs.org/Macromolecules Article,"Na Li, Shide Liu, Xiaojiao Shi, Yuxuan Qiao, Ya Liang, Xiaoxiang Li, Zhihui Qin,* and Tifeng Jiao*",Macromolecules,2025,10.1021/acs.macromol.5c01862,,,,,gel,readable,
P068,P068_unidentified.pdf,1-s2.0-S1385894722047271-main.pdf,ChemicalEngineeringJournal452(2023)139248,"Yiru Gao, Wenxin Zhang, Linyu Li, Zejun Wang*, Yang Shu*, Jianhua Wang",Nature,2022,10.1016/j.cej.2022.139248,,,,,ionogel,readable,
P069,P069_unidentified.pdf,1-s2.0-S2468217917300990-main.pdf,JournalofScience:AdvancedMaterialsandDevices3(2018)1e17,"Shujahadeen B. Aziz a,b,* , Thompson J. Woo c, M.F.Z. Kadir d, Hameed M. Ahmed a",Advanced Materials,2018,10.1016/j.jsamd.2018.01.002,,,,,ionogel,readable,
P070,P070_unidentified.pdf,1-s2.0-S2589004220312153-main.pdf,OPEN ACCESS,"DiLiu,1,2,4LinglinZhou,1,2,4ZhongLinWang,1,2,3,*andJieWang1,2,*",Nature,2009,10.1016/j.isci,,,,,ionogel,readable,
P071,P071_unidentified.pdf,4256_1_online.pdf,RESEARCH ARTICLE | AUGUST 26 2008,,Polymer,2008,10.1063/1.323412,,,,,ionogel,readable,
P072,P072_unidentified.pdf,Advanced Materials - 2016 - Hines - Soft Actuators for Small‐Scale Robotics.pdf,www.advancedsciencenews.com www.advmat.de,"Lindsey Hines, Kirstin Petersen, Guo Zhan Lum, and Metin Sitti*",Science,2016,10.1002/adma.201603483,,,,,ionogel,readable,
P073,P073_unidentified.pdf,Advanced Materials - 2017 - Mirvakili - Artificial Muscles  Mechanisms  Applications  and Challenges.pdf,Artificial Muscles www.advmat.de,"Artificial Muscles: Mechanisms, Applications,",Nature,2017,10.1002/adma.201704407,,,,,ionogel,readable,
P074,P074_unidentified.pdf,Electronic_skin_based_on_flexible_capacitor.pdf,Proceedings of 10th IEEE International Conference,"on CYBER Technology in Automation, Control, and Intelligent Systems",Small,2020,,,,,,ionogel,readable,
P075,P075_unidentified.pdf,Macromolecular Rapid Communications - 2018 - Wang - Ionic Gels and Their Applications in Stretchable Electronics.pdf,Stretchable Materials www.mrc-journal.de,"Haifei Wang, Ziya Wang, Jian Yang, Chen Xu, Qi Zhang, and Zhengchun Peng*",Polymer,2018,10.1002/marc.201800246,,,,,ionogel,readable,
P076,P076_unidentified.pdf,acs.chemrev.6b00504.pdf,"This is an open access article published under an ACS AuthorChoice License, which permits","Cite This: Chem. Rev. 2017, 117, 7190-7239 pubs.acs.org/CR",Science,2017,10.1021/acs.chemrev.6b00504,,,,,ionogel,readable,
P077,P077_unidentified.pdf,acsami.2c19654.pdf,www.acsami.org ResearchArticle,"Soft, Super-Elastic, All-Polymer Piezoelectric Elastomer for Artificial",Polymer,2022,10.1021/acsami.2c19654,,,,,ionogel,readable,
P078,P078_unidentified.pdf,acsapm.1c01396.pdf,pubs.acs.org/acsapm Article,"Jean-Emile Potaufeux, Jérémy Odent, Delphine Notta-Cuvier, Sophie Barrau, Chiara Magnani,",,2021,10.1021/acsapm.1c01396,,,,,ionogel,readable,
P079,P079_unidentified.pdf,adma202304157-sup-0001-suppmat.pdf,Supporting Information,"Wenwen Niu, Qiong Tian, Zhiyuan Liu* and Xiaokong Liu*",Supramolecular Chemistry,,,,,,,supplementary,readable,supplementary_material
P080,P080_unidentified.pdf,c5cs00303b.pdf,Volume 44 Number 21 7 November 2015 Pages 7431–7920,,Science,2015,10.1039/c5cs00303b,,,,,ionogel,readable,
P081,P081_unidentified.pdf,c5gc02277k.pdf,Green Chemistry,"Citethis:GreenChem.,2016,18,105",Green Chemistry,2016,10.1039/c5gc02277k,,,,,ionogel,readable,
P082,P082_unidentified.pdf,c6ta02621d.pdf,Materials Chemistry A,"Lizhen Long, Shuanjin Wang, Min Xiao and Yuezhong Meng*",Polymer,2016,10.1039/c6ta02621d,,,,,ionogel,readable,
P083,P083_unidentified.pdf,c7cs00505a.pdf,Chem Soc Rev,"Citethis:Chem.Soc.Rev.,2018,",Polymer,2018,10.1039/c7cs00505a,,,,,ionogel,readable,
P084,P084_unidentified.pdf,c9na00374f.pdf,Electrolyte selection for supercapacitive devices:,"Citethis:NanoscaleAdv.,2019,1,3807",Nanoscale,2019,10.1039/c9na00374f,,,,,ionogel,readable,
P085,P085_unidentified.pdf,c9tb02570g.pdf,Materials Chemistry B,"Citethis:J.Mater.Chem.B,2020,",Science,2020,10.1039/c9tb02570g,,,,,ionogel,readable,
P086,P086_unidentified.pdf,cr400675m.pdf,pubs.acs.org/CR,"Jihuai Wu, Zhang Lan, Jianming Lin, Miaoliang Huang, Yunfang Huang, Leqing Fan, and Genggeng Luo",Small,2003,10.1021/cr400675m,,,,,ionogel,readable,
P087,P087_unidentified.pdf,d2ta06541j.pdf,Materials Chemistry A,"Highly stretchable, tough, healable and",Polymer,2023,10.1039/d2ta06541j,,,,,ionogel,readable,
P088,P088_unidentified.pdf,gel-based-ionic-circuits.pdf,This article is licensed under CC-BY 4.0,"Hyunjae Yoo, § Yun Hyeok Lee, § Min-Gyu Lee, § and Jeong-Yun Sun*",Nature,2025,10.1021/acs.chemrev.5c00245,,,,,ionogel,readable,
P089,P089_unidentified.pdf,gels-08-00002-v2.pdf,Ionic Liquid-Based Gels for Applications in Electrochemical,"Santosh,Tangail1902,Bangladesh;sultana_chem@mbstu.ac.bd",Science,2021,10.3390/gels8010002,,,,,ionogel,readable,
P090,P090_unidentified.pdf,s11581-016-1756-4.pdf,Ionics(2016)22:1259–1279,,Polymer,2016,10.1007/s11581-016-1756-4,,,,,ionogel,readable,
P091,P091_unidentified.pdf,分子编织，缠结离子凝胶.pdf,"Howtocite:Angew.Chem.Int.Ed.2025,64,e202506559","Howtocite:Angew.Chem.Int.Ed.2025,64,e202506559",Polymer,2025,10.1002/anie.202506559,,,,,ionogel,readable,
P092,P092_unidentified.pdf,Advanced Materials - 2023 - Tamate - Extremely Tough  Stretchable Gel Electrolytes with Strong Interpolymer Hydrogen.pdf,RESEARCH ARTICLE,"Ryota Tamate,* Yueying Peng, Yuji Kamiyama, and Kei Nishikawa*",Polymer,2023,10.1002/adma.202211679,,,,,ionogel,readable,
P093,P093_unidentified.pdf,Mechanically Adaptative and Environmentally Stable.pdf,RESEARCH ARTICLE,"Wei Zhao, Zhouyue Lei,* and Peiyi Wu*",Science,2023,10.1002/advs.202300253,,,,,ionogel,readable,
P094,P094_unidentified.pdf,The Chemical Record - 2020 - Zhang - Overview of Ionogels in Flexible Electronics.pdf,Personal Account,"LuZhang,[a]Dawei Jiang,*[a,b]Tianhe Dong,*[c]RajibDas,[d]DuoPan,[g,h]Caiying Sun,*[a]",Polymer,2020,10.1002/tcr.202000041,,,,,ionogel,readable,
P095,P095_unidentified.pdf,acsenergylett.3c00319.pdf,Quaternary Ammonium-Functionalized,"Cheyenne R. Peltier, Wei You, Dea Fackovic Volcanjk, Qihao Li, Alexandra J. Macbeth,",Polymer,2023,10.1021/acsenergylett.3c00319,,,,,ionogel,readable,
P096,P096_unidentified.pdf,s11581-020-03655-w.pdf,Ionics (2020) 26:4215–4238,,Nature,2020,10.1007/s11581-020-03655-w,,,,,ionogel,readable,
P097,P097_unidentified.pdf,s41467-023-38040-4.pdf,Ultra-stretchable and biodegradable,"Received:14December2022 WonBaeHan 1,7,Gwan-JinKo 1,7,Kang-GonLee2,DonghakKim3,",,2023,10.1038/s41467-023-38040-4,,,,,ionogel,readable,
P098,P098_unidentified.pdf,Adv Funct Materials - 2023 - Go - Optically Transparent and Mechanically Robust Ionic Hydrogel Electrodes for Bright.pdf,ReseaRch aRticle,"Yeonjeong Go, Ho-Yeol Park, Yijie Zhu, Kiyoung Yoo, Jeonghun Kwak, Sung-Ho Jin,*",Polymer,2023,10.1002/adfm.202215193,,,,,ionogel,readable,
P099,P099_unidentified.pdf,Adv Funct Materials - 2023 - Ma - Highly Processable Ionogels with Mechanical Robustness.pdf,ReseaRch aRticle,"Chuao Ma, Jun Wei, Yuqiang Zhang, Xingchao Chen, Chan Liu, Shen Diao, Yuan Gao,",Polymer,2023,10.1002/adfm.202211771,,,,,ionogel,readable,
P100,P100_unidentified.pdf,acs.macromol.2c02388.pdf,pubs.acs.org/Macromolecules Article,"Peng Lan, Qiujie Zhao, Guangxin Lv, Grant S. Sheridan, David G. Cahill, and Christopher M. Evans*",Macromolecules,2022,10.1021/acs.macromol.2c02388,,,,,ionogel,readable,
P101,P101_unidentified.pdf,离子凝胶 核磁 红外.pdf,RESEARCH ARTICLE,"Hongfei Huang, Lijie Sun,* Yalin Zhang, Ruohan Zhang, Chang Chen,* and Wei Sun*",Polymer,2025,10.1002/adma.202506563,,,,,ionogel,readable,
P102,P102_unidentified.pdf,离子聚合物设计的最新进展：迈向与高性能聚合物的融合.pdf,Ionene www.mcp-journal.de,"Ionenes, condensation polymers wherein the charge (typically cationic) mers, the earliest studied uses of ILs were",Polymer,2019,10.1002/macp.201900078,,,,,ionogel,readable,
P103,P103_unidentified.pdf,质子离子液体抗衡离子对自支撑 PEDOT-PSS 薄膜导电性与拉伸性的影响.pdf,This article is licensed under CC-BY-NC-ND 4.0,"Thuy T. Le, Fatima Abbas, Shawn Bourdo, Fumiya Watanabe, and Noureen Siraj*",Macromolecules,2025,10.1021/acs.macromol.5c01646,,,,,ionogel,readable,
