node_id,node_type,label,category,description,evidence_count,confidence,original_title,display_title,title_uncertain
N0011,Paper,P107,PVDF_Piezoelectric_Biomaterials,REVIEW SUMMARY,10,high,REVIEW SUMMARY,Ferroelectric materials toward next-generation applications (Review),True
N0012,Paper,P108,PVDF_Piezoelectric_Biomaterials,压电效应—百岁铁电的守护者,15,high,压电效应—百岁铁电的守护者,压电效应—百岁铁电的守护者,False
N0013,Paper,P110,PVDF_Piezoelectric_Biomaterials,Nano Energy 59 (2019) 730–744,10,high,Nano Energy 59 (2019) 730–744,Piezoelectric nanotransducers for mechanical stimulation,True
N0014,Paper,P111,PVDF_Piezoelectric_Biomaterials,NanoEnergy102(2022)107690,10,high,NanoEnergy102(2022)107690,Piezoelectric charge induced hydrophilic poly(L-lactic acid) nanofiber for electro-topographical stimulation enabling stem cell differentiation,False
N0015,Paper,P113,PVDF_Piezoelectric_Biomaterials,NanoEnergy118(2023)108987,15,high,NanoEnergy118(2023)108987,A review: Polyacrylonitrile as high-performance piezoelectric materials,False
N0016,Paper,P115,PVDF_Piezoelectric_Biomaterials,MaterialsTodayCommunications31(2022)103491,10,high,MaterialsTodayCommunications31(2022)103491,Piezoelectric polymeric scaffold materials as biomechanical cellular stimuli to enhance tissue regeneration,False
N0017,Paper,P116,PVDF_Piezoelectric_Biomaterials,International Materials Reviews,13,high,International Materials Reviews,International Materials Reviews,False
N0018,Paper,P122,PVDF_Piezoelectric_Biomaterials,"HYDROGELS byweight,blackcurve)producingafasterrise",8,high,"HYDROGELS byweight,blackcurve)producingafasterrise","HYDROGELS byweight,blackcurve)producingafasterrise",False
N0019,Paper,P123,PVDF_Piezoelectric_Biomaterials,Piezoelectric Nanomaterial-Mediated Physical Signals,9,high,Piezoelectric Nanomaterial-Mediated Physical Signals,Piezoelectric Nanomaterial-Mediated Physical Signals,False
N0020,Paper,P140,PVDF_Piezoelectric_Biomaterials,Biocompatible Piezoelectric Elastomer for Self-Powered Electronics,9,high,Biocompatible Piezoelectric Elastomer for Self-Powered Electronics,Biocompatible Piezoelectric Elastomer for Self-Powered Electronics,False
N0021,Paper,P145,PVDF_Piezoelectric_Biomaterials,"PHYSICAL REVIEW LETTERS 122, 047701 (2019)",8,high,"PHYSICAL REVIEW LETTERS 122, 047701 (2019)","PHYSICAL REVIEW LETTERS 122, 047701 (2019)",False
N0022,Paper,P146,PVDF_Piezoelectric_Biomaterials,Design and Manufacturing of Piezoelectric Biomaterials for,13,high,Design and Manufacturing of Piezoelectric Biomaterials for,Design and Manufacturing of Piezoelectric Biomaterials for,False
N0023,Paper,P147,PVDF_Piezoelectric_Biomaterials,Ultra-soft organic combined lm with,7,high,Ultra-soft organic combined lm with,Ultra-soft organic combined lm with,False
N0024,Paper,P177,PVDF_Piezoelectric_Biomaterials,The tribo-piezoelectric microscopic coupling,10,high,The tribo-piezoelectric microscopic coupling,The tribo-piezoelectric microscopic coupling,False
N0025,Paper,P298,PVDF_Piezoelectric_Biomaterials,Cellulose sulfate lithium as a conductive binder for LiFePO4,10,high,Cellulose sulfate lithium as a conductive binder for LiFePO4,Cellulose sulfate lithium as a conductive binder for LiFePO4,False
N0026,Paper,P338,PVDF_Piezoelectric_Biomaterials,"CiteThis:Macromolecules2019,52,9000−9011 pubs.acs.org/Macromolecules",17,high,"CiteThis:Macromolecules2019,52,9000−9011 pubs.acs.org/Macromolecules","CiteThis:Macromolecules2019,52,9000−9011 pubs.acs.org/Macromolecules",False
N0027,Paper,P379,PVDF_Piezoelectric_Biomaterials,A Close Look at the Local Structure of Functional Polymers:,10,high,A Close Look at the Local Structure of Functional Polymers:,A Close Look at the Local Structure of Functional Polymers:,False
N0028,Paper,P003,SAXS_WAXS_FTIR_DSC,www.advmat.de,10,high,www.advmat.de,"Stretch-induced crystallization in TPU (hysteresis, hydrogen bonds, crystallinity)",True
N0029,Paper,P052,SAXS_WAXS_FTIR_DSC,Low-Temperature Solid-State Polycondensation Synthesis of Non-,12,high,Low-Temperature Solid-State Polycondensation Synthesis of Non-,Low-Temperature Solid-State Polycondensation Synthesis of Non-,False
N0030,Paper,P064,SAXS_WAXS_FTIR_DSC,HYDROGELS alkyl-watercontactsandmaximizefavorable,9,high,HYDROGELS alkyl-watercontactsandmaximizefavorable,HYDROGELS alkyl-watercontactsandmaximizefavorable,False
N0031,Paper,P159,SAXS_WAXS_FTIR_DSC,Mechano-responsive hydrogen-bonding array of,8,high,Mechano-responsive hydrogen-bonding array of,Mechano-responsive hydrogen-bonding array of,False
N0032,Paper,P191,SAXS_WAXS_FTIR_DSC,Elliptical Small-Angle X-Ray Scattering Patterns from,11,high,Elliptical Small-Angle X-Ray Scattering Patterns from,Elliptical Small-Angle X-Ray Scattering Patterns from,False
N0033,Paper,P240,SAXS_WAXS_FTIR_DSC,Programmable Liquid Crystal Elastomers Via Magnetic Field,8,high,Programmable Liquid Crystal Elastomers Via Magnetic Field,Programmable Liquid Crystal Elastomers Via Magnetic Field,False
N0034,Paper,P252,SAXS_WAXS_FTIR_DSC,Lyotropic Microphase Separation in Aqueous Solutions of Double,11,high,Lyotropic Microphase Separation in Aqueous Solutions of Double,Lyotropic Microphase Separation in Aqueous Solutions of Double,False
N0035,Paper,P260,SAXS_WAXS_FTIR_DSC,"Effect of Monomer Polarity on Polymer Dynamics, Glass Transition,",18,high,"Effect of Monomer Polarity on Polymer Dynamics, Glass Transition,","Effect of Monomer Polarity on Polymer Dynamics, Glass Transition,",False
N0036,Paper,P276,SAXS_WAXS_FTIR_DSC,Ion Transport in Polymerized Ionic Liquid Block Copolymers:,12,high,Ion Transport in Polymerized Ionic Liquid Block Copolymers:,Ion Transport in Polymerized Ionic Liquid Block Copolymers:,False
N0037,Paper,P278,SAXS_WAXS_FTIR_DSC,Emergent Nanostructure and Ion Transport in Polyzwitterion/,13,high,Emergent Nanostructure and Ion Transport in Polyzwitterion/,Emergent Nanostructure and Ion Transport in Polyzwitterion/,False
N0038,Paper,P284,SAXS_WAXS_FTIR_DSC,Multiscale and Multistep Ordering of Flow-Induced Nucleation of,20,high,Multiscale and Multistep Ordering of Flow-Induced Nucleation of,Multiscale and Multistep Ordering of Flow-Induced Nucleation of,False
N0039,Paper,P286,SAXS_WAXS_FTIR_DSC,Crystal Structures of Sustainable Long-Spaced Aliphatic Polyesters,16,high,Crystal Structures of Sustainable Long-Spaced Aliphatic Polyesters,Crystal Structures of Sustainable Long-Spaced Aliphatic Polyesters,False
N0040,Paper,P288,SAXS_WAXS_FTIR_DSC,Polymorphic Self-Poisoning in the Isothermal Crystallization of,12,high,Polymorphic Self-Poisoning in the Isothermal Crystallization of,Polymorphic Self-Poisoning in the Isothermal Crystallization of,False
N0041,Paper,P289,SAXS_WAXS_FTIR_DSC,Melt Memory Effect on Biaxially Oriented Random Copolyamides:,16,high,Melt Memory Effect on Biaxially Oriented Random Copolyamides:,Melt Memory Effect on Biaxially Oriented Random Copolyamides:,False
N0042,Paper,P294,SAXS_WAXS_FTIR_DSC,Hydrogen Bonding in Carboxyl/Amido-Functionalized PEDOT:PSS,14,high,Hydrogen Bonding in Carboxyl/Amido-Functionalized PEDOT:PSS,Hydrogen Bonding in Carboxyl/Amido-Functionalized PEDOT:PSS,False
N0043,Paper,P364,SAXS_WAXS_FTIR_DSC,Stretch-Induced Structure Evolution of Poly(vinyl alcohol)−Glycerol,15,high,Stretch-Induced Structure Evolution of Poly(vinyl alcohol)−Glycerol,Stretch-Induced Structure Evolution of Poly(vinyl alcohol)−Glycerol,False
N0044,Paper,P365,SAXS_WAXS_FTIR_DSC,SMALL-ANGLE X-RAY SCATTERING OF POLYMER,18,high,SMALL-ANGLE X-RAY SCATTERING OF POLYMER,SMALL-ANGLE X-RAY SCATTERING OF POLYMER,False
N0045,Paper,P366,SAXS_WAXS_FTIR_DSC,"Tao Li, Andrew J. Senesi, and Byeongdu Lee",20,high,"Tao Li, Andrew J. Senesi, and Byeongdu Lee","Tao Li, Andrew J. Senesi, and Byeongdu Lee",False
N0046,Paper,P369,SAXS_WAXS_FTIR_DSC,Microstructure and Segmental Dynamics of Polyurea under Uniaxial,16,high,Microstructure and Segmental Dynamics of Polyurea under Uniaxial,Microstructure and Segmental Dynamics of Polyurea under Uniaxial,False
N0047,Paper,P372,SAXS_WAXS_FTIR_DSC,"Polymer Vol.38No.18,pp.4571-4575,1997",9,high,"Polymer Vol.38No.18,pp.4571-4575,1997",SAXS measurements of the interface in polyacrylate and epoxy interpenetrating networks,False
N0048,Paper,P376,SAXS_WAXS_FTIR_DSC,NuclearInstrumentsandMethodsinPhysicsResearchA467–468(2001)1005–1009,10,high,NuclearInstrumentsandMethodsinPhysicsResearchA467–468(2001)1005–1009,NuclearInstrumentsandMethodsinPhysicsResearchA467–468(2001)1005–1009,False
N0049,Paper,P380,SAXS_WAXS_FTIR_DSC,How to Characterize Supramolecular Polymers: A User Guide,23,high,How to Characterize Supramolecular Polymers: A User Guide,How to Characterize Supramolecular Polymers: A User Guide,False
N0050,Paper,P386,SAXS_WAXS_FTIR_DSC,Direct Characterization of Mechanical Properties in Fully Free-,13,high,Direct Characterization of Mechanical Properties in Fully Free-,Direct Characterization of Mechanical Properties in Fully Free-,False
N0051,Paper,P414,SAXS_WAXS_FTIR_DSC,Dynamic pathways in energy landscapes,7,high,Dynamic pathways in energy landscapes,Dynamic pathways in energy landscapes,False
N0052,Paper,P425,SAXS_WAXS_FTIR_DSC,Architecture Effect on Network Phase Formation from Controlled,11,high,Architecture Effect on Network Phase Formation from Controlled,Architecture Effect on Network Phase Formation from Controlled,False
N0053,Paper,P006,TPU_Mechanics,Negative Enthalpy Variation Drives Rapid Recovery in Thermoplastic Elastomer,5,high,Negative Enthalpy Variation Drives Rapid Recovery in Thermoplastic Elastomer,Negative Enthalpy Variation Drives Rapid Recovery in Thermoplastic Elastomer,False
N0054,Paper,P011,TPU_Mechanics,Self-Organization at the Crack Tip of Fatigue-Resistant,15,high,Self-Organization at the Crack Tip of Fatigue-Resistant,Self-Organization at the Crack Tip of Fatigue-Resistant,False
N0055,Paper,P015,TPU_Mechanics,"Supertough, Resilient, and Healable Thermoplastic",11,high,"Supertough, Resilient, and Healable Thermoplastic","Supertough, Resilient, and Healable Thermoplastic",False
N0056,Paper,P054,TPU_Mechanics,Synthesis of a Photo-Crosslinkable Elastomer for Stretchable,8,high,Synthesis of a Photo-Crosslinkable Elastomer for Stretchable,Synthesis of a Photo-Crosslinkable Elastomer for Stretchable,False
N0057,Paper,P058,TPU_Mechanics,Tough and stretchable all-κ-carrageenan hydrogel based on the,7,high,Tough and stretchable all-κ-carrageenan hydrogel based on the,Tough and stretchable all-κ-carrageenan hydrogel based on the,False
N0058,Paper,P067,TPU_Mechanics,Highly Robust and Environment-Tolerant Conducting Polymer,10,high,Highly Robust and Environment-Tolerant Conducting Polymer,Highly Robust and Environment-Tolerant Conducting Polymer,False
N0059,Paper,P073,TPU_Mechanics,Artificial Muscles www.advmat.de,8,high,Artificial Muscles www.advmat.de,Artificial Muscles www.advmat.de,False
N0060,Paper,P074,TPU_Mechanics,Proceedings of 10th IEEE International Conference,13,high,Proceedings of 10th IEEE International Conference,Proceedings of 10th IEEE International Conference,False
N0061,Paper,P154,TPU_Mechanics,Dynamic Bond Chemistry in Soft Materials: Bridging Adaptability,15,high,Dynamic Bond Chemistry in Soft Materials: Bridging Adaptability,Dynamic Bond Chemistry in Soft Materials: Bridging Adaptability,False
N0062,Paper,P163,TPU_Mechanics,High enthalpy storage thermoset network with,6,high,High enthalpy storage thermoset network with,High enthalpy storage thermoset network with,False
N0063,Paper,P234,TPU_Mechanics,"Recent Advances in Dielectric Elastomer Actuators: Materials,",13,high,"Recent Advances in Dielectric Elastomer Actuators: Materials,","Recent Advances in Dielectric Elastomer Actuators: Materials,",False
N0064,Paper,P238,TPU_Mechanics,COMMUNICATION,5,high,COMMUNICATION,COMMUNICATION,False
N0065,Paper,P242,TPU_Mechanics,Polyelectrolyte elastomer-based ionotronic,6,high,Polyelectrolyte elastomer-based ionotronic,Polyelectrolyte elastomer-based ionotronic,False
N0066,Paper,P257,TPU_Mechanics,High-Performance Polyethylene-Ionomer-Based Thermoplastic,14,high,High-Performance Polyethylene-Ionomer-Based Thermoplastic,High-Performance Polyethylene-Ionomer-Based Thermoplastic,False
N0067,Paper,P259,TPU_Mechanics,PUBLISHEDONLINE:30NOVEMBER2015|DOI:10.1038/NMAT4508,6,high,PUBLISHEDONLINE:30NOVEMBER2015|DOI:10.1038/NMAT4508,PUBLISHEDONLINE:30NOVEMBER2015|DOI:10.1038/NMAT4508,False
N0068,Paper,P268,TPU_Mechanics,Self-compliant ionic skin by leveraging,6,high,Self-compliant ionic skin by leveraging,Self-compliant ionic skin by leveraging,False
N0069,Paper,P300,TPU_Mechanics,Multiresponsive and Mechanically Robust Self-Healing Waterborne,12,high,Multiresponsive and Mechanically Robust Self-Healing Waterborne,Multiresponsive and Mechanically Robust Self-Healing Waterborne,False
N0070,Paper,P342,TPU_Mechanics,POLYMERS degreeofpolymerizationoftheprimarychains,7,high,POLYMERS degreeofpolymerizationoftheprimarychains,POLYMERS degreeofpolymerizationoftheprimarychains,False
N0071,Paper,P349,TPU_Mechanics,Heterogeneous Local Dynamics in Mussel-Inspired Elastomers,12,high,Heterogeneous Local Dynamics in Mussel-Inspired Elastomers,Heterogeneous Local Dynamics in Mussel-Inspired Elastomers,False
N0072,Paper,P382,TPU_Mechanics,Flaw-Tolerant Fracture Enabled by Liquid-like,8,high,Flaw-Tolerant Fracture Enabled by Liquid-like,Flaw-Tolerant Fracture Enabled by Liquid-like,False
N0073,Paper,P383,TPU_Mechanics,Re-entry with Rate and Temperature of Brittle−Ductile Transition in,13,high,Re-entry with Rate and Temperature of Brittle−Ductile Transition in,Re-entry with Rate and Temperature of Brittle−Ductile Transition in,False
N0074,Paper,P395,TPU_Mechanics,Entanglements and Fracture in Polymers,11,high,Entanglements and Fracture in Polymers,Entanglements and Fracture in Polymers,False
N0075,Paper,P401,TPU_Mechanics,Rubbery Surface Elasticity of Polymer Glasses,10,high,Rubbery Surface Elasticity of Polymer Glasses,Rubbery Surface Elasticity of Polymer Glasses,False
N0076,Paper,P419,TPU_Mechanics,Reduction of Kuhn Length upon Chain Extension,8,high,Reduction of Kuhn Length upon Chain Extension,Reduction of Kuhn Length upon Chain Extension,False
N0077,Paper,P438,TPU_Mechanics,Reusable Ultratough Supramolecular Polyurethane-Urea Elastomer,11,high,Reusable Ultratough Supramolecular Polyurethane-Urea Elastomer,Reusable Ultratough Supramolecular Polyurethane-Urea Elastomer,False
N0078,Paper,P439,TPU_Mechanics,Multiscale Structural Evolution Governing Fatigue Resistance in,13,high,Multiscale Structural Evolution Governing Fatigue Resistance in,Multiscale Structural Evolution Governing Fatigue Resistance in,False
N0079,Paper,P452,TPU_Mechanics,"A stretchable, mechanically robust polymer",5,high,"A stretchable, mechanically robust polymer","A stretchable, mechanically robust polymer",False
N0080,Paper,P119,Biodegradable_Polyurethane,Fabrication and Characterization of Piezoelectric Polymer,12,high,Fabrication and Characterization of Piezoelectric Polymer,Fabrication and Characterization of Piezoelectric Polymer,False
N0081,Paper,P164,Biodegradable_Polyurethane,A bioinspired and hierarchically structured,5,high,A bioinspired and hierarchically structured,A bioinspired and hierarchically structured,False
N0082,Paper,P176,Biodegradable_Polyurethane,Recent developments in tribovoltaic,12,high,Recent developments in tribovoltaic,Recent developments in tribovoltaic,False
N0083,Paper,P337,Biodegradable_Polyurethane,"Tough, Multifunctional, and Biodegradable Polyurethanes Enabled",10,high,"Tough, Multifunctional, and Biodegradable Polyurethanes Enabled","Tough, Multifunctional, and Biodegradable Polyurethanes Enabled",False
N0084,Paper,P057,Ionogel_Magnetic_Ionogel,Science AdvAnceS | ReSeAR ch AR ticLe,11,high,Science AdvAnceS | ReSeAR ch AR ticLe,Science AdvAnceS | ReSeAR ch AR ticLe,False
N0085,Paper,P068,Ionogel_Magnetic_Ionogel,Contents lists available at ScienceDirect,11,high,Contents lists available at ScienceDirect,Contents lists available at ScienceDirect,False
N0086,Paper,P075,Ionogel_Magnetic_Ionogel,Ionic Gels and Their Applications in Stretchable Electronics,14,high,Ionic Gels and Their Applications in Stretchable Electronics,Ionic Gels and Their Applications in Stretchable Electronics,False
N0087,Paper,P084,Ionogel_Magnetic_Ionogel,Electrolyte selection for supercapacitive devices:,12,high,Electrolyte selection for supercapacitive devices:,Electrolyte selection for supercapacitive devices:,False
N0088,Paper,P089,Ionogel_Magnetic_Ionogel,Ionic Liquid-Based Gels for Applications in Electrochemical,13,high,Ionic Liquid-Based Gels for Applications in Electrochemical,Ionic Liquid-Based Gels for Applications in Electrochemical,False
N0089,Paper,P090,Ionogel_Magnetic_Ionogel,Ionics(2016)22:1259–1279,12,high,Ionics(2016)22:1259–1279,Ionics(2016)22:1259–1279,False
N0090,Paper,P091,Ionogel_Magnetic_Ionogel,"Howtocite:Angew.Chem.Int.Ed.2025,64,e202506559",12,high,"Howtocite:Angew.Chem.Int.Ed.2025,64,e202506559","Howtocite:Angew.Chem.Int.Ed.2025,64,e202506559",False
N0091,Paper,P093,Ionogel_Magnetic_Ionogel,www.advancedscience.com,10,high,www.advancedscience.com,www.advancedscience.com,False
N0092,Paper,P094,Ionogel_Magnetic_Ionogel,Personal Account,17,high,Personal Account,Personal Account,False
N0093,Paper,P099,Ionogel_Magnetic_Ionogel,Highly Processable Ionogels with Mechanical Robustness,11,high,Highly Processable Ionogels with Mechanical Robustness,Highly Processable Ionogels with Mechanical Robustness,False
N0094,Paper,P100,Ionogel_Magnetic_Ionogel,Molecular-Weight Dependence of Center-of-Mass Chain Diffusion in,13,high,Molecular-Weight Dependence of Center-of-Mass Chain Diffusion in,Molecular-Weight Dependence of Center-of-Mass Chain Diffusion in,False
N0095,Paper,P103,Ionogel_Magnetic_Ionogel,Counterion Effects of Protic Ionic Liquids on the Conductivity and,15,high,Counterion Effects of Protic Ionic Liquids on the Conductivity and,Counterion Effects of Protic Ionic Liquids on the Conductivity and,False
N0096,Paper,P220,Ionogel_Magnetic_Ionogel,Influence of Chain Entanglement on Rheological and Mechanical,12,high,Influence of Chain Entanglement on Rheological and Mechanical,Influence of Chain Entanglement on Rheological and Mechanical,False
N0097,Paper,P245,Ionogel_Magnetic_Ionogel,"Transparent, flexible, and paramagnetic ionogels based on PMMA and the",9,high,"Transparent, flexible, and paramagnetic ionogels based on PMMA and the","Transparent, flexible, and paramagnetic ionogels based on PMMA and the",False
N0098,Paper,P246,Ionogel_Magnetic_Ionogel,Enhanced Mechanical Properties of Polyurethane Ionogels,10,high,Enhanced Mechanical Properties of Polyurethane Ionogels,Enhanced Mechanical Properties of Polyurethane Ionogels,False
N0099,Paper,P247,Ionogel_Magnetic_Ionogel,Energy Applications of Ionic Liquids: Recent Developments and,15,high,Energy Applications of Ionic Liquids: Recent Developments and,Energy Applications of Ionic Liquids: Recent Developments and,False
N0100,Paper,P248,Ionogel_Magnetic_Ionogel,Theory and Simulations of Ionic Liquids in Nanoconfinement,17,high,Theory and Simulations of Ionic Liquids in Nanoconfinement,Theory and Simulations of Ionic Liquids in Nanoconfinement,False
N0101,Paper,P249,Ionogel_Magnetic_Ionogel,Polymerized and Colloidal Ionic Liquids�Syntheses and,10,high,Polymerized and Colloidal Ionic Liquids�Syntheses and,Polymerized and Colloidal Ionic Liquids�Syntheses and,False
N0102,Paper,P254,Ionogel_Magnetic_Ionogel,assembles into a lattice that contains numerous energetically near-,9,high,assembles into a lattice that contains numerous energetically near-,assembles into a lattice that contains numerous energetically near-,False
N0103,Paper,P256,Ionogel_Magnetic_Ionogel,pubs.acs.org/Macromolecules Perspective,17,high,pubs.acs.org/Macromolecules Perspective,pubs.acs.org/Macromolecules Perspective,False
N0104,Paper,P269,Ionogel_Magnetic_Ionogel,ISSN 1998-0124 CN 11-5974/O4,10,high,ISSN 1998-0124 CN 11-5974/O4,ISSN 1998-0124 CN 11-5974/O4,False
N0105,Paper,P448,Ionogel_Magnetic_Ionogel,Supramolecular Self-Assembly Regulated Double-Network Ionic Gel,11,high,Supramolecular Self-Assembly Regulated Double-Network Ionic Gel,Supramolecular Self-Assembly Regulated Double-Network Ionic Gel,False
N0106,Paper,P182,ML_Polymer_Properties,TransPolymer: a Transformer-based language model for,10,high,TransPolymer: a Transformer-based language model for,TransPolymer: a Transformer-based language model for,False
N0107,Paper,P183,ML_Polymer_Properties,A Machine Learning Interatomic Potential Data Set and Model for,15,high,A Machine Learning Interatomic Potential Data Set and Model for,A Machine Learning Interatomic Potential Data Set and Model for,False
N0108,Paper,P184,ML_Polymer_Properties,Δ‑Learning of High-Fidelity Electronic,11,high,Δ‑Learning of High-Fidelity Electronic,Δ‑Learning of High-Fidelity Electronic,False
N0109,Paper,P185,ML_Polymer_Properties,Adding Machine Learning to the Polymer Reaction Engineering,11,high,Adding Machine Learning to the Polymer Reaction Engineering,Adding Machine Learning to the Polymer Reaction Engineering,False
N0110,Paper,P186,ML_Polymer_Properties,Periodicity-aware deep learning for polymers,8,high,Periodicity-aware deep learning for polymers,Periodicity-aware deep learning for polymers,False
N0111,Paper,P187,ML_Polymer_Properties,Structure-Aware Machine Learning for Polymers: A,10,high,Structure-Aware Machine Learning for Polymers: A,Structure-Aware Machine Learning for Polymers: A,False
N0112,Paper,P189,ML_Polymer_Properties,"Accurately Predicting Solubility Curves via a Thermodynamic Cycle,",18,high,"Accurately Predicting Solubility Curves via a Thermodynamic Cycle,","Accurately Predicting Solubility Curves via a Thermodynamic Cycle,",False
N0113,Paper,P192,ML_Polymer_Properties,Age of Flexible Electronics: Emerging Trends in Soft Multifunctional Sensors,7,high,Age of Flexible Electronics: Emerging Trends in Soft Multifunctional Sensors,Age of Flexible Electronics: Emerging Trends in Soft Multifunctional Sensors,False
N0114,Paper,P305,ML_Polymer_Properties,Separated Structures in Graft-Type Polymer Electrolyte Membrane,13,high,Separated Structures in Graft-Type Polymer Electrolyte Membrane,Separated Structures in Graft-Type Polymer Electrolyte Membrane,False
N0115,Paper,P049,PU_Microphase_Separation,Green Chemistry,10,high,Green Chemistry,Green Chemistry,False
N0116,Paper,P156,PU_Microphase_Separation,Angewandte Chemie International Edition,5,high,Angewandte Chemie International Edition,Angewandte Chemie International Edition,False
N0117,Paper,P235,PU_Microphase_Separation,In Situ Visualization of Microphase Separation in High-Performance,11,high,In Situ Visualization of Microphase Separation in High-Performance,In Situ Visualization of Microphase Separation in High-Performance,False
N0118,Paper,P258,PU_Microphase_Separation,"Macromolecules2008,41,5723-5728 5723",10,high,"Macromolecules2008,41,5723-5728 5723","Macromolecules2008,41,5723-5728 5723",False
N0119,Paper,P287,PU_Microphase_Separation,Role of Stress Relaxation in Biaxially Stretching-Induced,10,high,Role of Stress Relaxation in Biaxially Stretching-Induced,Role of Stress Relaxation in Biaxially Stretching-Induced,False
N0120,Paper,P320,PU_Microphase_Separation,Multiscale Simulation of Multicomponent Polyurethane Elastomers:,11,high,Multiscale Simulation of Multicomponent Polyurethane Elastomers:,Multiscale Simulation of Multicomponent Polyurethane Elastomers:,False
N0121,Paper,P322,PU_Microphase_Separation,Investigating the Water-Induced Stiffening Mechanism in a Novel,10,high,Investigating the Water-Induced Stiffening Mechanism in a Novel,Investigating the Water-Induced Stiffening Mechanism in a Novel,False
N0122,Paper,P370,PU_Microphase_Separation,Polymer45(2004)7273–7291,12,high,Polymer45(2004)7273–7291,Polymer45(2004)7273–7291,False
N0123,Paper,P375,PU_Microphase_Separation,A Multiscale Investigation on the Mechanism of Shape Recovery for,12,high,A Multiscale Investigation on the Mechanism of Shape Recovery for,A Multiscale Investigation on the Mechanism of Shape Recovery for,False
N0124,Paper,P397,PU_Microphase_Separation,Impact of Network Architecture and Cross-Link Aggregation on the,11,high,Impact of Network Architecture and Cross-Link Aggregation on the,Impact of Network Architecture and Cross-Link Aggregation on the,False
N0125,Paper,P427,PU_Microphase_Separation,Decoding Exchange Mechanisms in High-Performance Polyurethane,15,high,Decoding Exchange Mechanisms in High-Performance Polyurethane,Decoding Exchange Mechanisms in High-Performance Polyurethane,False
N0126,Paper,P437,PU_Microphase_Separation,Ligament Inspired Ultra-Strong and Tough Bio-Based,9,high,Ligament Inspired Ultra-Strong and Tough Bio-Based,Ligament Inspired Ultra-Strong and Tough Bio-Based,False
N0127,Paper,P010,Review_Background,Surpassing the stiffness-extensibility trade-off,6,high,Surpassing the stiffness-extensibility trade-off,Surpassing the stiffness-extensibility trade-off,False
N0128,Paper,P018,Review_Background,"This is an open access article published under an ACS AuthorChoice License, which permits",10,high,"This is an open access article published under an ACS AuthorChoice License, which permits","This is an open access article published under an ACS AuthorChoice License, which permits",False
N0129,Paper,P021,Review_Background,Solution Self-Assembly of Block Copolymers,8,high,Solution Self-Assembly of Block Copolymers,Solution Self-Assembly of Block Copolymers,False
N0130,Paper,P023,Review_Background,: Polymer Brushes: Novel Surfaces for,8,high,: Polymer Brushes: Novel Surfaces for,: Polymer Brushes: Novel Surfaces for,False
N0131,Paper,P029,Review_Background,: Challenges in the Dynamics and,8,high,: Challenges in the Dynamics and,: Challenges in the Dynamics and,False
