node_id,node_type,label,category,description,evidence_count,confidence
N0135,Paper,P102,Review_Background,Recent Advances in the Design of Ionenes: Toward,8,high
N0136,Paper,P139,Review_Background,INSIGHTS | PERSPECTIVES,3,high
N0137,Paper,P194,Review_Background,Progress in Polymer Science 120 (2021) 101430,5,high
N0138,Paper,P201,Review_Background,Mechanisms of Flow-Induced Polymer Translocation,10,high
N0139,Paper,P219,Review_Background,Steady-State Extensional Viscosity of Wormlike Micellar Solutions,10,high
N0140,Paper,P221,Review_Background,高 等 学 校 化 学 学 报,1,high
N0141,Paper,P228,Review_Background,"PHYSICAL REVIEW E 112,054404(2025)",6,high
N0142,Paper,P266,Review_Background,Iontronics: Neuromorphic Sensing and Energy,9,high
N0143,Paper,P270,Review_Background,Sustainable electronic textiles towards,4,high
N0144,Paper,P285,Review_Background,Nonmonotonic Variation of the Preferential Orientation of Lamellar,9,high
N0145,Paper,P333,Review_Background,Prog.Polym.Sci.31(2006)487–531,9,high
N0146,Paper,P334,Review_Background,OF ORGANIC CHEMISTRY,5,high
N0147,Paper,P340,Review_Background,nature reviews materials https://doi.org/10.1038/s41578-024-00755-1,4,high
N0148,Paper,P345,Review_Background,Triply periodic minimal surface (TPMS) porous -Surface curvature in triply-periodic minimal,9,high
N0149,Paper,P356,Review_Background,Generalized Entropy Theory of Glass Formation in Graft Polymer,9,high
N0150,Paper,P390,Review_Background,Fatigue failure in glasses under cyclic shear,4,high
N0151,Paper,P393,Review_Background,"PHYSICAL REVIEW LETTERS 131, 228102 (2023)",5,high
N0152,Paper,P406,Review_Background,"PHYSICAL REVIEW E 99,012107(2019)",8,high
N0153,Paper,P407,Review_Background,"See discussions, stats, and author profiles for this publication at: https://www.researchgate.net/publication/228644644",9,high
N0154,Paper,P408,Review_Background,"PHYSICAL REVIEW X 12, 021001 (2022)",6,high
N0155,Paper,P454,Review_Background,Chemical Society Reviews,4,high
N0156,Paper,P013,Self_Healing_Elastomer,Phase-Pinned Bicontinuous Structures Reconciling with the Superior,10,high
N0157,Paper,P033,Self_Healing_Elastomer,Perspective,12,high
N0158,Paper,P044,Self_Healing_Elastomer,Sticky Rouse Model and Molecular Dynamics Simulation for Dual,13,high
N0159,Paper,P047,Self_Healing_Elastomer,Rouse mode analysis of chain relaxation in,6,high
N0160,Paper,P051,Self_Healing_Elastomer,POLYMERS able.Somehealablematerialswithhighme-,6,high
N0161,Paper,P063,Self_Healing_Elastomer,"Self-healable, Regenerable, and Degradable Dynamic Covalent Nitroalcohol",9,high
N0162,Paper,P066,Self_Healing_Elastomer,Materials Today xxx (xxxx) xxx,9,high
N0163,Paper,P097,Self_Healing_Elastomer,Ultra-stretchable and biodegradable,12,high
N0164,Paper,P118,Self_Healing_Elastomer,"Materials Today d Volume xxx, Number xx d xxxx 2025 RESEARCH (LIGHT BLUE)",5,high
N0165,Paper,P150,Self_Healing_Elastomer,Dynamic Covalent Polymer Networks: A Molecular Platform for,11,high
N0166,Paper,P225,Self_Healing_Elastomer,Multipotent Elastomers via Tempering of Phase-Separated Dynamic,11,high
N0167,Paper,P250,Self_Healing_Elastomer,Polymer Network Diffusion in Charged Gels,4,high
N0168,Paper,P359,Self_Healing_Elastomer,Coherent State Field Theory for Reversible Gelation of Star Polymers,11,high
N0169,Paper,P368,Self_Healing_Elastomer,Speed-Induced Extensibility Elastomers with Good Resilience and,10,high
N0170,Paper,P396,Self_Healing_Elastomer,Segmental Dynamics and Vitrification in Associating Copolymer,14,high
N0171,Paper,P400,Self_Healing_Elastomer,Tensile Strain Softening of Associative Polymer Networks:,13,high
N0172,Paper,P428,Self_Healing_Elastomer,Correlation between Structural Flexibility of H‑Bonding Motifs and,14,high
N0173,Paper,P433,Self_Healing_Elastomer,Molecular Springs in Dynamic Covalent Polymer Networks,9,high
N0174,Paper,P443,Self_Healing_Elastomer,Orthogonal yet Synergistic Supramolecular Interactions to Boost,11,high
N0175,Paper,P444,Self_Healing_Elastomer,Dynamic Synergy Effect between the Hydrogen Bond Network and,13,high
N0176,Paper,P045,Shape_Memory_Polyurethane,第 38卷 第 2 期,4,high
N0177,Paper,P209,Shape_Memory_Polyurethane,Design of a Recyclable Thiol−ene Network with Dynamic Ether,11,high
N0178,Paper,P224,Shape_Memory_Polyurethane,EDGE ARTICLE,8,high
N0179,Paper,P237,Shape_Memory_Polyurethane,Dynamic Boronate Ester Chemistry Facilitating 3D Printing,8,high
N0180,Material,Polyurethane,,Material system: Polyurethane,59,medium
N0181,Material,Thermoplastic Polyurethane,,Material system: Thermoplastic Polyurethane,48,medium
N0182,Material,Poly(vinylidene fluoride),,Material system: Poly(vinylidene fluoride),45,medium
N0183,Material,Polycaprolactone,,Material system: Polycaprolactone,22,medium
N0184,Material,Polylactic acid,,Material system: Polylactic acid,143,medium
N0185,Material,Polyethylene glycol,,Material system: Polyethylene glycol,15,medium
N0186,Material,Polydimethylsiloxane,,Material system: Polydimethylsiloxane,13,medium
N0187,Material,Hydrogel,,Material system: Hydrogel,35,medium
N0188,Material,Ionogel,,Material system: Ionogel,39,medium
N0189,Material,Elastomer,,Material system: Elastomer,154,medium
N0190,Method,SAXS,,Characterization method: SAXS,76,medium
N0191,Method,WAXS,,Characterization method: WAXS,27,medium
N0192,Method,FTIR,,Characterization method: FTIR,15,medium
N0193,Method,DSC,,Characterization method: DSC,61,medium
N0194,Method,DMA,,Characterization method: DMA,22,medium
N0195,Method,TGA,,Characterization method: TGA,8,medium
N0196,Method,SEM,,Characterization method: SEM,77,medium
N0197,Method,TEM,,Characterization method: TEM,312,medium
N0198,Method,AFM,,Characterization method: AFM,14,medium
N0199,Method,NMR,,Characterization method: NMR,27,medium
N0200,Method,Rheology,,Characterization method: Rheology,9,medium
N0201,Method,Tensile Testing,,Characterization method: Tensile Testing,1,medium
N0202,Method,XRD,,Characterization method: XRD,9,medium
N0203,Method,Dielectric Spectroscopy,,Characterization method: Dielectric Spectroscopy,3,medium
N0204,Property,tensile strength,,Measurable property: tensile strength,12,medium
N0205,Property,elongation at break,,Measurable property: elongation at break,20,medium
N0206,Property,toughness,,Measurable property: toughness,54,medium
N0207,Property,modulus,,Measurable property: modulus,60,medium
N0208,Property,Tg,,Measurable property: Tg,9,medium
N0209,Property,Tm,,Measurable property: Tm,77,medium
N0210,Property,crystallinity,,Measurable property: crystallinity,17,medium
N0211,Property,ionic conductivity,,Measurable property: ionic conductivity,33,medium
N0212,Property,d33,,Measurable property: d33,1,medium
N0213,Property,self-healing efficiency,,Measurable property: self-healing efficiency,2,medium
N0214,Property,recovery ratio,,Measurable property: recovery ratio,3,medium
N0215,Mechanism,microphase separation,,Physical mechanism: microphase separation,23,medium
N0216,Mechanism,strain-induced crystallization,,Physical mechanism: strain-induced crystallization,3,medium
N0217,Mechanism,hydrogen bonding,,Physical mechanism: hydrogen bonding,17,medium
N0218,Mechanism,self-healing,,Physical mechanism: self-healing,59,medium
N0219,Mechanism,shape memory,,Physical mechanism: shape memory,16,medium
N0220,Mechanism,piezoelectric effect,,Physical mechanism: piezoelectric effect,5,medium
N0221,Mechanism,degradation,,Physical mechanism: degradation,15,medium
N0222,Mechanism,biocompatibility,,Physical mechanism: biocompatibility,8,medium
N0223,Project,PU_microphase_mechanics,,PU Microphase Separation and Mechanics,0,high
N0224,Project,PCL_biodegradable_PU,,PCL-Based Biodegradable PU,0,high
N0225,Project,PVDF_piezo_biointerface,,PVDF Piezoelectric Biointerface,0,high
N0226,Project,ionogel_FeCl4_PU,,Ionogel/FeCl4-PU Interaction,0,high
N0227,Project,ML_polyurethane_properties,,ML for Polyurethane Properties,0,high
N0228,MLFeature,mechanical properties,,ML input feature candidate: mechanical properties,1,medium
