paper_id,method_name,method_type,purpose,measured_information,strengths,limitations,key_result
P047,SEM,characterization,,,,,
P047,MD Simulation,characterization,,,,,
P047,TEM,characterization,,,,,
P047,Rheology,characterization,,,,,
P048,SEM,characterization,,,,,
P048,MD Simulation,characterization,,,,,
P048,TEM,characterization,,,,,
P048,Dielectric,characterization,,,,,
P048,Rheology,characterization,,,,,
P049,FTIR,characterization,,,,,
P049,DMA,characterization,,,,,
P049,DSC,characterization,,,,,
P049,SEM,characterization,,,,,
P049,TEM,characterization,,,,,
P049,TGA,characterization,,,,,
P049,GPC,characterization,,,,,
P049,Tensile,characterization,,,,,
P049,Rheology,characterization,,,,,
P051,FTIR,characterization,,,,,
P051,DSC,characterization,,,,,
P051,SEM,characterization,,,,,
P051,Rheology,characterization,,,,,
P051,TEM,characterization,,,,,
P051,Tensile,characterization,,,,,
P051,NMR,characterization,,,,,
P052,FTIR,characterization,,,,,
P052,NMR,characterization,,,,,
P052,DMA,characterization,,,,,
P052,DSC,characterization,,,,,
P052,SEM,characterization,,,,,
P052,Rheology,characterization,,,,,
P052,TEM,characterization,,,,,
P052,TGA,characterization,,,,,
P052,GPC,characterization,,,,,
P052,Tensile,characterization,,,,,
P052,WAXD,characterization,,,,,
P053,DMA,characterization,,,,,
P053,DSC,characterization,,,,,
P053,SEM,characterization,,,,,
P053,TEM,characterization,,,,,
P053,Cyclic Voltammetry,characterization,,,,,
P053,Tensile,characterization,,,,,
P053,Rheology,characterization,,,,,
P054,DMA,characterization,,,,,
P054,DSC,characterization,,,,,
P054,SEM,characterization,,,,,
P054,TEM,characterization,,,,,
P054,Dielectric,characterization,,,,,
P054,GPC,characterization,,,,,
P054,Tensile,characterization,,,,,
P054,NMR,characterization,,,,,
P054,AFM,characterization,,,,,
P054,DFT,characterization,,,,,
P055,FTIR,characterization,,,,,
P055,NMR,characterization,,,,,
P055,DSC,characterization,,,,,
P055,SEM,characterization,,,,,
P055,Rheology,characterization,,,,,
P055,TEM,characterization,,,,,
P055,Tensile,characterization,,,,,
P055,WAXD,characterization,,,,,
P056,DMA,characterization,,,,,
P056,DLS,characterization,,,,,
P056,DSC,characterization,,,,,
P056,SEM,characterization,,,,,
P056,TEM,characterization,,,,,
P056,GPC,characterization,,,,,
P056,Tensile,characterization,,,,,
P056,Rheology,characterization,,,,,
P057,SAXS,characterization,,,,,
P057,NMR,characterization,,,,,
P057,DMA,characterization,,,,,
P057,Neutron Scattering,characterization,,,,,
P057,DSC,characterization,,,,,
P057,SEM,characterization,,,,,
P057,MD Simulation,characterization,,,,,
P057,Rheology,characterization,,,,,
P057,TEM,characterization,,,,,
P057,TGA,characterization,,,,,
P057,GPC,characterization,,,,,
P057,Tensile,characterization,,,,,
P057,WAXD,characterization,,,,,
P057,XPS,characterization,,,,,
P058,SAXS,characterization,,,,,
P058,NMR,characterization,,,,,
P058,DLS,characterization,,,,,
P058,SEM,characterization,,,,,
P058,Rheology,characterization,,,,,
P058,TEM,characterization,,,,,
P058,TGA,characterization,,,,,
P058,Tensile,characterization,,,,,
P058,WAXD,characterization,,,,,
P058,AFM,characterization,,,,,
P059,Fluorescence,characterization,,,,,
P059,DSC,characterization,,,,,
P059,TEM,characterization,,,,,
P059,Dielectric,characterization,,,,,
P059,Cyclic Voltammetry,characterization,,,,,
P059,Tensile,characterization,,,,,
P059,SEM,characterization,,,,,
P059,AFM,characterization,,,,,
P060,FTIR,characterization,,,,,
P060,DMA,characterization,,,,,
P060,DSC,characterization,,,,,
P060,SEM,characterization,,,,,
P060,TEM,characterization,,,,,
P060,Dielectric,characterization,,,,,
P060,Cyclic Voltammetry,characterization,,,,,
P060,Tensile,characterization,,,,,
P060,NMR,characterization,,,,,
P060,XPS,characterization,,,,,
P061,DMA,characterization,,,,,
P061,DSC,characterization,,,,,
P061,SEM,characterization,,,,,
P061,MD Simulation,characterization,,,,,
P061,TEM,characterization,,,,,
P061,Dielectric,characterization,,,,,
P061,Cyclic Voltammetry,characterization,,,,,
P061,Tensile,characterization,,,,,
P061,NMR,characterization,,,,,
P061,XPS,characterization,,,,,
P062,Tensile,characterization,,,,,
P062,DSC,characterization,,,,,
P062,TEM,characterization,,,,,
P062,DMA,characterization,,,,,
P063,FTIR,characterization,,,,,
P063,SEM,characterization,,,,,
P063,Rheology,characterization,,,,,
P063,TEM,characterization,,,,,
P063,TGA,characterization,,,,,
P063,NMR,characterization,,,,,
P064,SAXS,characterization,,,,,
P064,DMA,characterization,,,,,
P064,DSC,characterization,,,,,
P064,SEM,characterization,,,,,
P064,Rheology,characterization,,,,,
P064,TEM,characterization,,,,,
P064,Tensile,characterization,,,,,
P064,NMR,characterization,,,,,
P064,AFM,characterization,,,,,
P064,DFT,characterization,,,,,
P065,DMA,characterization,,,,,
P065,DSC,characterization,,,,,
P065,TEM,characterization,,,,,
P065,Dielectric,characterization,,,,,
P065,SEM,characterization,,,,,
P066,SAXS,characterization,,,,,
P066,FTIR,characterization,,,,,
P066,DMA,characterization,,,,,
P066,DSC,characterization,,,,,
P066,SEM,characterization,,,,,
P066,Rheology,characterization,,,,,
P066,TEM,characterization,,,,,
P066,Dielectric,characterization,,,,,
P066,Cyclic Voltammetry,characterization,,,,,
P066,Tensile,characterization,,,,,
P066,WAXD,characterization,,,,,
P067,FTIR,characterization,,,,,
P067,DMA,characterization,,,,,
P067,DSC,characterization,,,,,
P067,TEM,characterization,,,,,
P067,Cyclic Voltammetry,characterization,,,,,
P067,Tensile,characterization,,,,,
P067,SEM,characterization,,,,,
P068,DMA,characterization,,,,,
P068,TEM,characterization,,,,,
P068,Cyclic Voltammetry,characterization,,,,,
P068,Tensile,characterization,,,,,
P068,SEM,characterization,,,,,
P069,DMA,characterization,,,,,
P069,Neutron Scattering,characterization,,,,,
P069,DSC,characterization,,,,,
P069,SEM,characterization,,,,,
P069,TEM,characterization,,,,,
P069,Dielectric,characterization,,,,,
P069,Cyclic Voltammetry,characterization,,,,,
P069,Rheology,characterization,,,,,
P070,DMA,characterization,,,,,
P070,SEM,characterization,,,,,
P070,TEM,characterization,,,,,
P070,Dielectric,characterization,,,,,
P070,Cyclic Voltammetry,characterization,,,,,
P070,NMR,characterization,,,,,
P071,SEM,characterization,,,,,
P071,TGA,characterization,,,,,
P071,TEM,characterization,,,,,
P071,XPS,characterization,,,,,
P072,Piezoelectric,characterization,,,,,
P072,DMA,characterization,,,,,
P072,DSC,characterization,,,,,
P072,SEM,characterization,,,,,
P072,TEM,characterization,,,,,
P072,Dielectric,characterization,,,,,
P072,TGA,characterization,,,,,
P072,Cyclic Voltammetry,characterization,,,,,
P072,Rheology,characterization,,,,,
P073,Piezoelectric,characterization,,,,,
P073,DMA,characterization,,,,,
P073,DSC,characterization,,,,,
P073,SEM,characterization,,,,,
P073,TEM,characterization,,,,,
P073,Dielectric,characterization,,,,,
P073,Cyclic Voltammetry,characterization,,,,,
P073,Tensile,characterization,,,,,
P073,Rheology,characterization,,,,,
P074,SEM,characterization,,,,,
P074,TEM,characterization,,,,,
P074,Dielectric,characterization,,,,,
P075,DLS,characterization,,,,,
P075,DSC,characterization,,,,,
P075,SEM,characterization,,,,,
P075,TEM,characterization,,,,,
P075,Dielectric,characterization,,,,,
P075,Cyclic Voltammetry,characterization,,,,,
P075,Tensile,characterization,,,,,
P075,Rheology,characterization,,,,,
P076,DMA,characterization,,,,,
P076,DSC,characterization,,,,,
P076,DFT,characterization,,,,,
P076,TEM,characterization,,,,,
P076,Cyclic Voltammetry,characterization,,,,,
P076,SEM,characterization,,,,,
P076,XPS,characterization,,,,,
P077,FTIR,characterization,,,,,
P077,Piezoelectric,characterization,,,,,
P077,DMA,characterization,,,,,
P077,DSC,characterization,,,,,
P077,SEM,characterization,,,,,
P077,TEM,characterization,,,,,
P077,Dielectric,characterization,,,,,
P077,Cyclic Voltammetry,characterization,,,,,
P077,Tensile,characterization,,,,,
P077,Rheology,characterization,,,,,
P078,SAXS,characterization,,,,,
P078,FTIR,characterization,,,,,
P078,DSC,characterization,,,,,
P078,SEM,characterization,,,,,
P078,Rheology,characterization,,,,,
P078,TEM,characterization,,,,,
P078,Dielectric,characterization,,,,,
P078,TGA,characterization,,,,,
P078,Tensile,characterization,,,,,
P078,NMR,characterization,,,,,
P080,DMA,characterization,,,,,
P080,DSC,characterization,,,,,
P080,TEM,characterization,,,,,
P080,Dielectric,characterization,,,,,
P080,Cyclic Voltammetry,characterization,,,,,
P080,SEM,characterization,,,,,
P081,FTIR,characterization,,,,,
P081,DMA,characterization,,,,,
P081,DSC,characterization,,,,,
P081,SEM,characterization,,,,,
P081,Rheology,characterization,,,,,
P081,TEM,characterization,,,,,
P081,Cyclic Voltammetry,characterization,,,,,
P081,NMR,characterization,,,,,
P081,XPS,characterization,,,,,
P082,DMA,characterization,,,,,
P082,MD Simulation,characterization,,,,,
P082,TEM,characterization,,,,,
P082,Dielectric,characterization,,,,,
P082,Cyclic Voltammetry,characterization,,,,,
P082,GPC,characterization,,,,,
P082,SEM,characterization,,,,,
P083,Piezoelectric,characterization,,,,,
P083,DMA,characterization,,,,,
P083,DSC,characterization,,,,,
P083,TEM,characterization,,,,,
P083,Cyclic Voltammetry,characterization,,,,,
P083,Tensile,characterization,,,,,
P083,SEM,characterization,,,,,
P083,XPS,characterization,,,,,
P084,DSC,characterization,,,,,
P084,SEM,characterization,,,,,
P084,TEM,characterization,,,,,
P084,Dielectric,characterization,,,,,
P084,TGA,characterization,,,,,
P084,Cyclic Voltammetry,characterization,,,,,
P084,NMR,characterization,,,,,
P084,XPS,characterization,,,,,
P085,DMA,characterization,,,,,
P085,DSC,characterization,,,,,
P085,TEM,characterization,,,,,
P085,Tensile,characterization,,,,,
P085,SEM,characterization,,,,,
P086,DMA,characterization,,,,,
P086,TEM,characterization,,,,,
P086,Dielectric,characterization,,,,,
P086,Cyclic Voltammetry,characterization,,,,,
P086,SEM,characterization,,,,,
P087,SAXS,characterization,,,,,
P087,FTIR,characterization,,,,,
P087,Fluorescence,characterization,,,,,
P087,DMA,characterization,,,,,
P087,DSC,characterization,,,,,
P087,TEM,characterization,,,,,
P087,Dielectric,characterization,,,,,
P087,UV-Vis,characterization,,,,,
P087,TGA,characterization,,,,,
P087,Tensile,characterization,,,,,
P087,Rheology,characterization,,,,,
P088,DMA,characterization,,,,,
P088,DLS,characterization,,,,,
P088,TEM,characterization,,,,,
P088,Dielectric,characterization,,,,,
P088,Cyclic Voltammetry,characterization,,,,,
P088,SEM,characterization,,,,,
P089,DMA,characterization,,,,,
P089,DSC,characterization,,,,,
P089,SEM,characterization,,,,,
P089,TEM,characterization,,,,,
P089,Dielectric,characterization,,,,,
P089,Cyclic Voltammetry,characterization,,,,,
P089,Tensile,characterization,,,,,
P089,NMR,characterization,,,,,
P089,AFM,characterization,,,,,
P090,DMA,characterization,,,,,
P090,DSC,characterization,,,,,
P090,SEM,characterization,,,,,
P090,TEM,characterization,,,,,
P090,Dielectric,characterization,,,,,
P090,Cyclic Voltammetry,characterization,,,,,
P090,Tensile,characterization,,,,,
P090,Rheology,characterization,,,,,
P091,FTIR,characterization,,,,,
P091,DMA,characterization,,,,,
P091,DSC,characterization,,,,,
P091,SEM,characterization,,,,,
P091,TEM,characterization,,,,,
P091,Dielectric,characterization,,,,,
P091,Cyclic Voltammetry,characterization,,,,,
P091,Tensile,characterization,,,,,
P091,Rheology,characterization,,,,,
P092,FTIR,characterization,,,,,
P092,DMA,characterization,,,,,
P092,DSC,characterization,,,,,
P092,SEM,characterization,,,,,
P092,MD Simulation,characterization,,,,,
P092,Rheology,characterization,,,,,
P092,TEM,characterization,,,,,
P092,TGA,characterization,,,,,
P092,GPC,characterization,,,,,
P092,Cyclic Voltammetry,characterization,,,,,
P092,Tensile,characterization,,,,,
P092,NMR,characterization,,,,,
P092,XPS,characterization,,,,,
P093,FTIR,characterization,,,,,
P093,DMA,characterization,,,,,
P093,DSC,characterization,,,,,
P093,SEM,characterization,,,,,
P093,TEM,characterization,,,,,
P093,Cyclic Voltammetry,characterization,,,,,
P093,Tensile,characterization,,,,,
P093,Rheology,characterization,,,,,
P093,DFT,characterization,,,,,
P094,DMA,characterization,,,,,
P094,DSC,characterization,,,,,
P094,SEM,characterization,,,,,
P094,TEM,characterization,,,,,
P094,Dielectric,characterization,,,,,
P094,Cyclic Voltammetry,characterization,,,,,
P094,Tensile,characterization,,,,,
P094,Rheology,characterization,,,,,
P095,FTIR,characterization,,,,,
P095,Piezoelectric,characterization,,,,,
P095,DMA,characterization,,,,,
P095,DSC,characterization,,,,,
P095,SEM,characterization,,,,,
P095,TEM,characterization,,,,,
P095,Cyclic Voltammetry,characterization,,,,,
P095,Tensile,characterization,,,,,
P095,NMR,characterization,,,,,
P096,FTIR,characterization,,,,,
P096,DMA,characterization,,,,,
P096,DSC,characterization,,,,,
P096,TEM,characterization,,,,,
P096,Dielectric,characterization,,,,,
P096,TGA,characterization,,,,,
P096,Cyclic Voltammetry,characterization,,,,,
P096,SEM,characterization,,,,,
P096,DFT,characterization,,,,,
P097,DMA,characterization,,,,,
P097,DSC,characterization,,,,,
P097,SEM,characterization,,,,,
P097,Rheology,characterization,,,,,
P097,TEM,characterization,,,,,
P097,Dielectric,characterization,,,,,
P097,Cyclic Voltammetry,characterization,,,,,
P097,GPC,characterization,,,,,
P097,Tensile,characterization,,,,,
P097,NMR,characterization,,,,,
P098,FTIR,characterization,,,,,
P098,DSC,characterization,,,,,
P098,TEM,characterization,,,,,
P098,Dielectric,characterization,,,,,
P098,Cyclic Voltammetry,characterization,,,,,
P098,Tensile,characterization,,,,,
P098,SEM,characterization,,,,,
P098,AFM,characterization,,,,,
P099,DMA,characterization,,,,,
P099,DSC,characterization,,,,,
P099,SEM,characterization,,,,,
P099,Rheology,characterization,,,,,
P099,TEM,characterization,,,,,
P099,TGA,characterization,,,,,
P099,Cyclic Voltammetry,characterization,,,,,
P099,Tensile,characterization,,,,,
P099,NMR,characterization,,,,,
P099,AFM,characterization,,,,,
P100,SAXS,characterization,,,,,
P100,NMR,characterization,,,,,
P100,DMA,characterization,,,,,
P100,Neutron Scattering,characterization,,,,,
P100,DSC,characterization,,,,,
P100,SEM,characterization,,,,,
P100,MD Simulation,characterization,,,,,
P100,Rheology,characterization,,,,,
P100,TEM,characterization,,,,,
P100,Dielectric,characterization,,,,,
P100,Cyclic Voltammetry,characterization,,,,,
P100,GPC,characterization,,,,,
P100,WAXD,characterization,,,,,
P101,FTIR,characterization,,,,,
P101,DMA,characterization,,,,,
P101,DSC,characterization,,,,,
P101,SEM,characterization,,,,,
P101,Rheology,characterization,,,,,
P101,TEM,characterization,,,,,
P101,Dielectric,characterization,,,,,
P101,TGA,characterization,,,,,
P101,Cyclic Voltammetry,characterization,,,,,
P101,Tensile,characterization,,,,,
P101,NMR,characterization,,,,,
P101,AFM,characterization,,,,,
P101,XPS,characterization,,,,,
P102,Fluorescence,characterization,,,,,
P102,DSC,characterization,,,,,
P102,SEM,characterization,,,,,
P102,TEM,characterization,,,,,
P102,TGA,characterization,,,,,
P102,GPC,characterization,,,,,
P102,NMR,characterization,,,,,
P103,DMA,characterization,,,,,
P103,SEM,characterization,,,,,
P103,TEM,characterization,,,,,
P103,TGA,characterization,,,,,
P103,Cyclic Voltammetry,characterization,,,,,
P103,Tensile,characterization,,,,,
P103,NMR,characterization,,,,,
P103,AFM,characterization,,,,,
P103,XPS,characterization,,,,,
P104,Piezoelectric,characterization,,,,,
P104,DMA,characterization,,,,,
P104,DSC,characterization,,,,,
P104,TEM,characterization,,,,,
P104,Dielectric,characterization,,,,,
P104,SEM,characterization,,,,,
P104,DFT,characterization,,,,,
P105,Piezoelectric,characterization,,,,,
P105,DSC,characterization,,,,,
P105,TEM,characterization,,,,,
P105,Dielectric,characterization,,,,,
P105,Tensile,characterization,,,,,
P106,Piezoelectric,characterization,,,,,
P106,DMA,characterization,,,,,
P106,DSC,characterization,,,,,
P106,TEM,characterization,,,,,
P106,Dielectric,characterization,,,,,
P106,SEM,characterization,,,,,
P106,DFT,characterization,,,,,
P107,Piezoelectric,characterization,,,,,
P107,DMA,characterization,,,,,
P107,DSC,characterization,,,,,
P107,MD Simulation,characterization,,,,,
P107,TEM,characterization,,,,,
P107,Dielectric,characterization,,,,,
P107,Rheology,characterization,,,,,
P107,DFT,characterization,,,,,
P108,Piezoelectric,characterization,,,,,
P108,TEM,characterization,,,,,
P108,Dielectric,characterization,,,,,
P109,DMA,characterization,,,,,
P109,DSC,characterization,,,,,
P109,TEM,characterization,,,,,
P109,Dielectric,characterization,,,,,
P109,SEM,characterization,,,,,
P109,DFT,characterization,,,,,
P110,Piezoelectric,characterization,,,,,
P110,Fluorescence,characterization,,,,,
P110,DMA,characterization,,,,,
P110,SEM,characterization,,,,,
P110,TEM,characterization,,,,,
P110,Dielectric,characterization,,,,,
P110,Cyclic Voltammetry,characterization,,,,,
P110,Rheology,characterization,,,,,
P110,AFM,characterization,,,,,
P111,FTIR,characterization,,,,,
P111,Piezoelectric,characterization,,,,,
P111,DMA,characterization,,,,,
P111,SEM,characterization,,,,,
P111,TEM,characterization,,,,,
P111,Tensile,characterization,,,,,
P111,NMR,characterization,,,,,
P111,AFM,characterization,,,,,
P111,XPS,characterization,,,,,
P112,Piezoelectric,characterization,,,,,
P112,DMA,characterization,,,,,
P112,TEM,characterization,,,,,
P112,Dielectric,characterization,,,,,
P112,Cyclic Voltammetry,characterization,,,,,
P112,SEM,characterization,,,,,
P112,AFM,characterization,,,,,
P113,FTIR,characterization,,,,,
P113,Piezoelectric,characterization,,,,,
