paper_id,material_system,composition,structure,processing_method,key_property,performance_data,application,limitation
P017,Polyimide,,,,,,,
P017,Polyacrylate,,,,,,,
P017,Block copolymer,,,,,,,
P017,Polyurethane,,,,,,,
P017,Polyelectrolyte,,,,,,,
P017,Polylactic acid,,,,,,,
P017,PDMS,,,,,,,
P017,PCL,,,,,,,
P017,PEG,,,,,,,
P017,Polyester,,,,,,,
P017,Elastomer,,,,,,,
P017,Hydrogel,,,,,,,
P017,Polyethylene,,,,,,,
P018,Polyimide,,,,,,,
P018,Polyacrylate,,,,,,,
P018,Polythiophene,,,,,,,
P018,Block copolymer,,,,,,,
P018,Polyamide,,,,,,,
P018,Polyurethane,,,,,,,
P018,Polyelectrolyte,,,,,,,
P018,Polylactic acid,,,,,,,
P018,PDMS,,,,,,,
P018,PEG,,,,,,,
P018,Polyester,,,,,,,
P018,Elastomer,,,,,,,
P018,Polyethylene,,,,,,,
P019,Polyimide,,,,,,,
P019,PVDF-TrFE,,,,,,,
P019,Polyacrylate,,,,,,,
P019,Thiourea,,,,,,,
P019,Polysiloxane,,,,,,,
P019,Block copolymer,,,,,,,
P019,Polyamide,,,,,,,
P019,Polyurethane,,,,,,,
P019,Ionogel,,,,,,,
P019,Polylactic acid,,,,,,,
P019,PCL,,,,,,,
P019,Ionic liquid,,,,,,,
P019,PEG,,,,,,,
P019,Polyester,,,,,,,
P019,Elastomer,,,,,,,
P019,PVDF,,,,,,,
P019,Polyethylene,,,,,,,
P020,Polyimide,,,,,,,
P020,Polyacrylate,,,,,,,
P020,Polyethylene,,,,,,,
P020,Ferrocene,,,,,,,
P020,Polyurethane,,,,,,,
P020,Polylactic acid,,,,,,,
P020,PEG,,,,,,,
P020,Block copolymer,,,,,,,
P021,Polyimide,,,,,,,
P021,Polyacrylate,,,,,,,
P021,Polythiophene,,,,,,,
P021,Block copolymer,,,,,,,
P021,Polyurethane,,,,,,,
P021,Polyelectrolyte,,,,,,,
P021,Polylactic acid,,,,,,,
P021,PDMS,,,,,,,
P021,PCL,,,,,,,
P021,Ionic liquid,,,,,,,
P021,PEG,,,,,,,
P021,Elastomer,,,,,,,
P021,Polyethylene,,,,,,,
P022,Furan,,,,,,,
P022,Polyimide,,,,,,,
P022,Boronic ester,,,,,,,
P022,Polyacrylate,,,,,,,
P022,Self-healing,,,,,,,
P022,Polyurethane,,,,,,,
P022,Polyamide,,,,,,,
P022,Polylactic acid,,,,,,,
P022,PEG,,,,,,,
P022,Polyester,,,,,,,
P022,Vitrimer,,,,,,,
P022,Natural rubber,,,,,,,
P022,Elastomer,,,,,,,
P022,SBR,,,,,,,
P022,Polyethylene,,,,,,,
P023,Polyimide,,,,,,,
P023,Polyacrylate,,,,,,,
P023,Polythiophene,,,,,,,
P023,Block copolymer,,,,,,,
P023,Polyurethane,,,,,,,
P023,Polyelectrolyte,,,,,,,
P023,Polylactic acid,,,,,,,
P023,PEDOT:PSS,,,,,,,
P023,PEG,,,,,,,
P023,Elastomer,,,,,,,
P023,Hydrogel,,,,,,,
P023,SBR,,,,,,,
P023,Polyethylene,,,,,,,
P024,Polyimide,,,,,,,
P024,Polyacrylate,,,,,,,
P024,Block copolymer,,,,,,,
P024,Polyurethane,,,,,,,
P024,Polyelectrolyte,,,,,,,
P024,Polylactic acid,,,,,,,
P024,PEDOT:PSS,,,,,,,
P024,PDMS,,,,,,,
P024,PEG,,,,,,,
P024,Elastomer,,,,,,,
P024,SBR,,,,,,,
P024,Polyethylene,,,,,,,
P025,Furan,,,,,,,
P025,Polyimide,,,,,,,
P025,Ferrocene,,,,,,,
P025,Polythiophene,,,,,,,
P025,Polyurethane,,,,,,,
P025,Polylactic acid,,,,,,,
P025,PEG,,,,,,,
P025,Polyethylene,,,,,,,
P026,Furan,,,,,,,
P026,Polyimide,,,,,,,
P026,Polyacrylate,,,,,,,
P026,Block copolymer,,,,,,,
P026,Polyurethane,,,,,,,
P026,Polyelectrolyte,,,,,,,
P026,Polylactic acid,,,,,,,
P026,PEG,,,,,,,
P026,Polyester,,,,,,,
P026,Elastomer,,,,,,,
P026,Hydrogel,,,,,,,
P026,Polyethylene,,,,,,,
P027,Polyimide,,,,,,,
P027,Polyacrylate,,,,,,,
P027,Block copolymer,,,,,,,
P027,Polyamide,,,,,,,
P027,Polyurethane,,,,,,,
P027,Hydrogel,,,,,,,
P027,Polylactic acid,,,,,,,
P027,PEDOT:PSS,,,,,,,
P027,Chitosan,,,,,,,
P027,PCL,,,,,,,
P027,Gelatin,,,,,,,
P027,Shape memory polymer,,,,,,,
P027,PEG,,,,,,,
P027,Polyester,,,,,,,
P027,Elastomer,,,,,,,
P027,PVDF,,,,,,,
P027,Polyethylene,,,,,,,
P028,Polyimide,,,,,,,
P028,Polyacrylate,,,,,,,
P028,Polythiophene,,,,,,,
P028,Block copolymer,,,,,,,
P028,Polyamide,,,,,,,
P028,Polyurethane,,,,,,,
P028,Polylactic acid,,,,,,,
P028,PEG,,,,,,,
P028,Polyester,,,,,,,
P028,Elastomer,,,,,,,
P028,PVDF,,,,,,,
P028,Polyethylene,,,,,,,
P029,Polyimide,,,,,,,
P029,Polyurethane,,,,,,,
P029,Polylactic acid,,,,,,,
P029,PEG,,,,,,,
P029,Elastomer,,,,,,,
P029,Polyethylene,,,,,,,
P030,Furan,,,,,,,
P030,Polyimide,,,,,,,
P030,Polyacrylate,,,,,,,
P030,Polyethylene,,,,,,,
P030,Polythiophene,,,,,,,
P030,Polyamide,,,,,,,
P030,Polyurethane,,,,,,,
P030,Polylactic acid,,,,,,,
P030,PEG,,,,,,,
P030,Polyester,,,,,,,
P030,Thiourea,,,,,,,
P030,Gelatin,,,,,,,
P030,Elastomer,,,,,,,
P030,Block copolymer,,,,,,,
P031,Polyimide,,,,,,,
P031,Polyethylene,,,,,,,
P031,Polyurethane,,,,,,,
P031,Polylactic acid,,,,,,,
P031,PEG,,,,,,,
P031,Hydrogel,,,,,,,
P031,Block copolymer,,,,,,,
P032,Polyimide,,,,,,,
P032,Polysiloxane,,,,,,,
P032,Block copolymer,,,,,,,
P032,Polyurethane,,,,,,,
P032,Polylactic acid,,,,,,,
P032,PDMS,,,,,,,
P032,PEG,,,,,,,
P032,Elastomer,,,,,,,
P032,SBR,,,,,,,
P032,Polyethylene,,,,,,,
P033,Polyelectrolyte,,,,,,,
P033,Ionogel,,,,,,,
P033,Gelatin,,,,,,,
P033,PDMS,,,,,,,
P033,PEG,,,,,,,
P033,Polyester,,,,,,,
P033,Vitrimer,,,,,,,
P033,Block copolymer,,,,,,,
P033,Polyimide,,,,,,,
P033,Polysiloxane,,,,,,,
P033,Alginate,,,,,,,
P033,Natural rubber,,,,,,,
P033,Elastomer,,,,,,,
P033,Polyethylene,,,,,,,
P033,Self-healing,,,,,,,
P033,Polyurethane,,,,,,,
P033,Polylactic acid,,,,,,,
P033,Shape memory polymer,,,,,,,
P033,Hydrogel,,,,,,,
P034,Furan,,,,,,,
P034,Polyimide,,,,,,,
P034,Polysiloxane,,,,,,,
P034,Block copolymer,,,,,,,
P034,Self-healing,,,,,,,
P034,Polyurethane,,,,,,,
P034,Polyamide,,,,,,,
P034,Polylactic acid,,,,,,,
P034,PCL,,,,,,,
P034,PEG,,,,,,,
P034,Shape memory polymer,,,,,,,
P034,Polyester,,,,,,,
P034,Elastomer,,,,,,,
P034,Polyethylene,,,,,,,
P035,Polyimide,,,,,,,
P035,Polyurethane,,,,,,,
P035,Polyelectrolyte,,,,,,,
P035,Polylactic acid,,,,,,,
P035,Elastomer,,,,,,,
P035,Polyethylene,,,,,,,
P036,Polyimide,,,,,,,
P036,Polyurethane,,,,,,,
P036,Polyelectrolyte,,,,,,,
P036,Ionogel,,,,,,,
P036,Polylactic acid,,,,,,,
P036,Elastomer,,,,,,,
P036,Polyethylene,,,,,,,
P037,Polyimide,,,,,,,
P037,Polyacrylate,,,,,,,
P037,Block copolymer,,,,,,,
P037,Polyurethane,,,,,,,
P037,Polyelectrolyte,,,,,,,
P037,Polylactic acid,,,,,,,
P037,PDMS,,,,,,,
P037,Ionic liquid,,,,,,,
P037,PEG,,,,,,,
P037,Elastomer,,,,,,,
P037,Hydrogel,,,,,,,
P037,SBR,,,,,,,
P037,Polyethylene,,,,,,,
P038,Polyimide,,,,,,,
P038,Block copolymer,,,,,,,
P038,Polyurethane,,,,,,,
P038,Polylactic acid,,,,,,,
P038,Gelatin,,,,,,,
P038,PCL,,,,,,,
P038,Alginate,,,,,,,
P038,PEG,,,,,,,
P038,Elastomer,,,,,,,
P038,Hydrogel,,,,,,,
P038,Polyethylene,,,,,,,
P039,Polyimide,,,,,,,
P039,Polyacrylate,,,,,,,
P039,Polysiloxane,,,,,,,
P039,Block copolymer,,,,,,,
P039,Self-healing,,,,,,,
P039,Polyurethane,,,,,,,
P039,Polyamide,,,,,,,
P039,BaTiO3,,,,,,,
P039,Polylactic acid,,,,,,,
P039,PDMS,,,,,,,
P039,PEG,,,,,,,
P039,Elastomer,,,,,,,
P039,PVDF,,,,,,,
P039,Polyethylene,,,,,,,
P040,Polyimide,,,,,,,
P040,Polyethylene,,,,,,,
P040,Polyurethane,,,,,,,
P040,Polyelectrolyte,,,,,,,
P040,Polylactic acid,,,,,,,
P040,Block copolymer,,,,,,,
P041,Polylactic acid,,,,,,,
P041,Polyimide,,,,,,,
P041,Polyurethane,,,,,,,
P041,Polyethylene,,,,,,,
P042,Polyimide,,,,,,,
P042,Polyethylene,,,,,,,
P043,Polyimide,,,,,,,
P043,Polyethylene,,,,,,,
P043,Polyurethane,,,,,,,
P043,Polylactic acid,,,,,,,
P043,Block copolymer,,,,,,,
P044,Polyimide,,,,,,,
P044,Block copolymer,,,,,,,
P044,Self-healing,,,,,,,
P044,Polyurethane,,,,,,,
P044,Polylactic acid,,,,,,,
P044,Shape memory polymer,,,,,,,
P044,Elastomer,,,,,,,
P044,Hydrogel,,,,,,,
P044,Polyethylene,,,,,,,
P045,Polyimide,,,,,,,
P045,Block copolymer,,,,,,,
P045,Self-healing,,,,,,,
P045,Polyurethane,,,,,,,
P045,Polylactic acid,,,,,,,
P045,Shape memory polymer,,,,,,,
P045,PEG,,,,,,,
P045,Vitrimer,,,,,,,
P045,Elastomer,,,,,,,
P045,Hydrogel,,,,,,,
P045,Polyethylene,,,,,,,
P046,Polyimide,,,,,,,
P046,Polyurethane,,,,,,,
P046,Polylactic acid,,,,,,,
P046,Elastomer,,,,,,,
P046,Polyethylene,,,,,,,
P047,Polyimide,,,,,,,
P047,Block copolymer,,,,,,,
P047,Self-healing,,,,,,,
P047,Polyurethane,,,,,,,
P047,Polylactic acid,,,,,,,
P047,Vitrimer,,,,,,,
P047,Elastomer,,,,,,,
P047,Polyethylene,,,,,,,
P048,Polyimide,,,,,,,
P048,Polyurethane,,,,,,,
P048,Polylactic acid,,,,,,,
P048,PEG,,,,,,,
P048,Elastomer,,,,,,,
P048,Polyethylene,,,,,,,
P049,Polyimide,,,,,,,
P049,Polyamide,,,,,,,
P049,Polyurethane,,,,,,,
P049,Polylactic acid,,,,,,,
P049,PEG,,,,,,,
P049,Polyester,,,,,,,
P049,Vitrimer,,,,,,,
P049,Thiourea,,,,,,,
P049,Elastomer,,,,,,,
P049,Polyethylene,,,,,,,
P051,Polyimide,,,,,,,
P051,Polyurethane,,,,,,,
P051,Polylactic acid,,,,,,,
P051,PEG,,,,,,,
P051,Thiourea,,,,,,,
P051,Elastomer,,,,,,,
P051,Polyethylene,,,,,,,
P052,Polyimide,,,,,,,
P052,Self-healing,,,,,,,
P052,Polyurethane,,,,,,,
P052,Polyamide,,,,,,,
P052,Polylactic acid,,,,,,,
P052,Polyester,,,,,,,
P052,Vitrimer,,,,,,,
P052,Thiourea,,,,,,,
P052,Elastomer,,,,,,,
P052,Polyethylene,,,,,,,
P053,Polyimide,,,,,,,
P053,Self-healing,,,,,,,
P053,Polyurethane,,,,,,,
P053,Polylactic acid,,,,,,,
P053,PEG,,,,,,,
P053,Elastomer,,,,,,,
P053,Hydrogel,,,,,,,
P053,SBR,,,,,,,
P053,Polyethylene,,,,,,,
P054,Polyimide,,,,,,,
P054,Polysiloxane,,,,,,,
P054,Polyurethane,,,,,,,
P054,Polylactic acid,,,,,,,
P054,PDMS,,,,,,,
P054,Elastomer,,,,,,,
P054,Polyethylene,,,,,,,
P055,Polyimide,,,,,,,
P055,Polyurethane,,,,,,,
P055,Polylactic acid,,,,,,,
P055,PEG,,,,,,,
P055,Vitrimer,,,,,,,
P055,Polyethylene,,,,,,,
P056,Polyimide,,,,,,,
P056,Polyurethane,,,,,,,
P056,Polylactic acid,,,,,,,
P056,PEG,,,,,,,
P056,Elastomer,,,,,,,
P056,Hydrogel,,,,,,,
P056,Polyethylene,,,,,,,
P057,Furan,,,,,,,
P057,Polyimide,,,,,,,
P057,Polyurethane,,,,,,,
P057,Polyelectrolyte,,,,,,,
P057,Polylactic acid,,,,,,,
P057,Ionic liquid,,,,,,,
P057,Vitrimer,,,,,,,
P057,Elastomer,,,,,,,
P057,Polyethylene,,,,,,,
P058,Polyimide,,,,,,,
P058,Polyurethane,,,,,,,
P058,Polylactic acid,,,,,,,
P058,Chitosan,,,,,,,
P058,Hydrogel,,,,,,,
P058,Polyethylene,,,,,,,
P059,Furan,,,,,,,
P059,Polyimide,,,,,,,
P059,Polyacrylate,,,,,,,
P059,Self-healing,,,,,,,
P059,Polyurethane,,,,,,,
P059,Ionogel,,,,,,,
P059,Polylactic acid,,,,,,,
P059,PEDOT:PSS,,,,,,,
P059,PDMS,,,,,,,
P059,Ionic liquid,,,,,,,
P059,PEG,,,,,,,
P059,Shape memory polymer,,,,,,,
P059,Elastomer,,,,,,,
P059,Hydrogel,,,,,,,
P059,Polyethylene,,,,,,,
P060,Polyimide,,,,,,,
P060,Polyurethane,,,,,,,
P060,Ionogel,,,,,,,
P060,Polylactic acid,,,,,,,
P060,Hydrogel,,,,,,,
P060,Polyethylene,,,,,,,
P061,Polyimide,,,,,,,
P061,Self-healing,,,,,,,
P061,Polyurethane,,,,,,,
P061,Polylactic acid,,,,,,,
P061,PEG,,,,,,,
P061,Elastomer,,,,,,,
P061,Hydrogel,,,,,,,
P061,Polyethylene,,,,,,,
P062,Hydrogel,,,,,,,
P062,Self-healing,,,,,,,
P062,Polyurethane,,,,,,,
P062,Polyethylene,,,,,,,
P063,Polyimide,,,,,,,
P063,Boronic ester,,,,,,,
P063,Self-healing,,,,,,,
P063,Polyurethane,,,,,,,
P063,Polylactic acid,,,,,,,
P063,Vitrimer,,,,,,,
P063,Elastomer,,,,,,,
P063,Polyethylene,,,,,,,
P064,Polyimide,,,,,,,
P064,Self-healing,,,,,,,
P064,Polyurethane,,,,,,,
P064,Polyelectrolyte,,,,,,,
P064,Polylactic acid,,,,,,,
P064,Elastomer,,,,,,,
P064,Hydrogel,,,,,,,
P064,Polyethylene,,,,,,,
P065,Polyimide,,,,,,,
P065,Self-healing,,,,,,,
P065,Polyurethane,,,,,,,
P065,Polyelectrolyte,,,,,,,
P065,Polylactic acid,,,,,,,
P065,Chitosan,,,,,,,
P065,Ionic liquid,,,,,,,
P065,Alginate,,,,,,,
P065,Gelatin,,,,,,,
P065,PEG,,,,,,,
P065,Elastomer,,,,,,,
P065,Hydrogel,,,,,,,
P065,Polyethylene,,,,,,,
P066,Polyimide,,,,,,,
P066,Self-healing,,,,,,,
P066,Polyurethane,,,,,,,
P066,Polyelectrolyte,,,,,,,
P066,Ionogel,,,,,,,
P066,Polylactic acid,,,,,,,
P066,Chitosan,,,,,,,
P066,Natural rubber,,,,,,,
P066,Elastomer,,,,,,,
P066,Hydrogel,,,,,,,
P066,Polyethylene,,,,,,,
P067,Polyimide,,,,,,,
P067,Polythiophene,,,,,,,
P067,Polyurethane,,,,,,,
P067,Polyelectrolyte,,,,,,,
P067,Ionogel,,,,,,,
P067,Polylactic acid,,,,,,,
P067,PEDOT:PSS,,,,,,,
P067,Chitosan,,,,,,,
P067,Ionic liquid,,,,,,,
P067,Alginate,,,,,,,
P067,Gelatin,,,,,,,
P067,PEG,,,,,,,
P067,Elastomer,,,,,,,
P067,Hydrogel,,,,,,,
P067,Polyethylene,,,,,,,
P068,Furan,,,,,,,
P068,Polyimide,,,,,,,
P068,Polyacrylate,,,,,,,
P068,Self-healing,,,,,,,
P068,Polyurethane,,,,,,,
P068,Polyelectrolyte,,,,,,,
P068,Ionogel,,,,,,,
P068,Polylactic acid,,,,,,,
P068,PEDOT:PSS,,,,,,,
P068,Chitosan,,,,,,,
P068,Ionic liquid,,,,,,,
P068,Gelatin,,,,,,,
P068,Shape memory polymer,,,,,,,
P068,PEG,,,,,,,
P068,Elastomer,,,,,,,
P068,Hydrogel,,,,,,,
P068,Polyethylene,,,,,,,
P069,Polyimide,,,,,,,
P069,Polyacrylate,,,,,,,
P069,Polyurethane,,,,,,,
P069,Polylactic acid,,,,,,,
P069,Chitosan,,,,,,,
P069,PCL,,,,,,,
P069,PEG,,,,,,,
P069,Elastomer,,,,,,,
P069,PVDF,,,,,,,
P069,Polyethylene,,,,,,,
P070,Polyimide,,,,,,,
P070,Polyamide,,,,,,,
P070,Polyurethane,,,,,,,
P070,Polylactic acid,,,,,,,
P070,PEG,,,,,,,
P070,Elastomer,,,,,,,
P070,SBR,,,,,,,
P070,Polyethylene,,,,,,,
P071,Furan,,,,,,,
P071,Polyimide,,,,,,,
P071,Polyacrylate,,,,,,,
P071,Polyurethane,,,,,,,
P071,Polylactic acid,,,,,,,
P071,Polyethylene,,,,,,,
P072,Polyimide,,,,,,,
P072,Polysiloxane,,,,,,,
P072,Self-healing,,,,,,,
P072,Polyurethane,,,,,,,
P072,Polyelectrolyte,,,,,,,
P072,Ionogel,,,,,,,
P072,Polylactic acid,,,,,,,
P072,PVDF,,,,,,,
P072,Ionic liquid,,,,,,,
P072,Gelatin,,,,,,,
P072,Shape memory polymer,,,,,,,
P072,Elastomer,,,,,,,
P072,Hydrogel,,,,,,,
P072,Polyethylene,,,,,,,
P073,Polyimide,,,,,,,
P073,Polysiloxane,,,,,,,
P073,Polyamide,,,,,,,
P073,Polyurethane,,,,,,,
P073,Polylactic acid,,,,,,,
P073,PDMS,,,,,,,
P073,Ionic liquid,,,,,,,
P073,Chitosan,,,,,,,
P073,Natural rubber,,,,,,,
P073,Elastomer,,,,,,,
P073,Hydrogel,,,,,,,
P073,Polyethylene,,,,,,,
P074,Polyimide,,,,,,,
P074,Polysiloxane,,,,,,,
P074,Polyurethane,,,,,,,
P074,Polylactic acid,,,,,,,
P074,PEG,,,,,,,
P074,Polyester,,,,,,,
P074,Polyethylene,,,,,,,
P075,Polyelectrolyte,,,,,,,
P075,Ionogel,,,,,,,
P075,Ionic liquid,,,,,,,
P075,Chitosan,,,,,,,
P075,Polythiophene,,,,,,,
P075,PDMS,,,,,,,
P075,PEG,,,,,,,
P075,Block copolymer,,,,,,,
P075,Polyimide,,,,,,,
P075,Polyacrylate,,,,,,,
P075,Ferrocene,,,,,,,
P075,Polysiloxane,,,,,,,
P075,Alginate,,,,,,,
P075,Elastomer,,,,,,,
P075,Polyethylene,,,,,,,
P075,Self-healing,,,,,,,
P075,Polyurethane,,,,,,,
P075,Polylactic acid,,,,,,,
P075,PEDOT:PSS,,,,,,,
P075,PVDF,,,,,,,
P075,Hydrogel,,,,,,,
P076,Furan,,,,,,,
P076,Polyimide,,,,,,,
P076,Polyacrylate,,,,,,,
P076,Block copolymer,,,,,,,
P076,Polyurethane,,,,,,,
P076,Polysulfide,,,,,,,
P076,Polylactic acid,,,,,,,
P076,Ionic liquid,,,,,,,
P076,PEG,,,,,,,
P076,PVDF,,,,,,,
P076,Polyethylene,,,,,,,
P077,Polyimide,,,,,,,
P077,PVDF-TrFE,,,,,,,
P077,Self-healing,,,,,,,
P077,Polyurethane,,,,,,,
P077,Polyamide,,,,,,,
P077,BaTiO3,,,,,,,
P077,Hydrogel,,,,,,,
P077,Polylactic acid,,,,,,,
P077,PDMS,,,,,,,
P077,PEG,,,,,,,
P077,Shape memory polymer,,,,,,,
P077,Elastomer,,,,,,,
P077,PVDF,,,,,,,
P077,Polyethylene,,,,,,,
P078,Furan,,,,,,,
P078,Polyimide,,,,,,,
P078,Self-healing,,,,,,,
P078,Polyurethane,,,,,,,
P078,Polylactic acid,,,,,,,
P078,Shape memory polymer,,,,,,,
P078,PDMS,,,,,,,
P078,PEG,,,,,,,
P078,Vitrimer,,,,,,,
P078,Elastomer,,,,,,,
P078,Hydrogel,,,,,,,
P078,Polyethylene,,,,,,,
P080,Polyimide,,,,,,,
P080,Polyurethane,,,,,,,
P080,Polylactic acid,,,,,,,
P080,PEG,,,,,,,
P080,Ionic liquid,,,,,,,
P080,Polyethylene,,,,,,,
P081,Polyimide,,,,,,,
P081,Polyacrylate,,,,,,,
P081,Ferrocene,,,,,,,
P081,Polyurethane,,,,,,,
P081,Polyelectrolyte,,,,,,,
P081,Hydrogel,,,,,,,
P081,Polylactic acid,,,,,,,
P081,Ionogel,,,,,,,
P081,PDMS,,,,,,,
P081,Ionic liquid,,,,,,,
P081,Gelatin,,,,,,,
P081,PEG,,,,,,,
P081,Elastomer,,,,,,,
P081,PVDF,,,,,,,
P081,Polyethylene,,,,,,,
P082,Polyimide,,,,,,,
P082,PVDF-TrFE,,,,,,,
P082,Polyacrylate,,,,,,,
P082,Polysiloxane,,,,,,,
P082,Block copolymer,,,,,,,
P082,Polyurethane,,,,,,,
P082,Polyelectrolyte,,,,,,,
P082,Polylactic acid,,,,,,,
P082,PDMS,,,,,,,
P082,PEG,,,,,,,
P082,Elastomer,,,,,,,
P082,PVDF,,,,,,,
P082,Polyethylene,,,,,,,
P083,Polyimide,,,,,,,
P083,Polyacrylate,,,,,,,
P083,Polythiophene,,,,,,,
P083,Self-healing,,,,,,,
P083,Polyurethane,,,,,,,
P083,Polyelectrolyte,,,,,,,
P083,Polylactic acid,,,,,,,
P083,PEDOT:PSS,,,,,,,
P083,PDMS,,,,,,,
P083,Ionic liquid,,,,,,,
P083,PEG,,,,,,,
P083,Polyester,,,,,,,
P083,Elastomer,,,,,,,
P083,Hydrogel,,,,,,,
P083,SBR,,,,,,,
P083,Polyethylene,,,,,,,
P084,Polyimide,,,,,,,
P084,Polyurethane,,,,,,,
P084,Polylactic acid,,,,,,,
P084,PEG,,,,,,,
P084,Polyethylene,,,,,,,
P085,Polyimide,,,,,,,
P085,Polysiloxane,,,,,,,
P085,Self-healing,,,,,,,
P085,Polyurethane,,,,,,,
P085,Polyelectrolyte,,,,,,,
P085,Polylactic acid,,,,,,,
P085,PEDOT:PSS,,,,,,,
P085,PDMS,,,,,,,
P085,Ionic liquid,,,,,,,
P085,Chitosan,,,,,,,
P085,Alginate,,,,,,,
P085,PEG,,,,,,,
P085,Elastomer,,,,,,,
P085,Hydrogel,,,,,,,
P085,Polyethylene,,,,,,,
P086,Polyimide,,,,,,,
P086,Polyacrylate,,,,,,,
P086,Polyurethane,,,,,,,
P086,Polysulfide,,,,,,,
P086,Polylactic acid,,,,,,,
P086,PEDOT:PSS,,,,,,,
P086,Ionic liquid,,,,,,,
P086,PEG,,,,,,,
P086,Thiourea,,,,,,,
P086,Elastomer,,,,,,,
P086,PVDF,,,,,,,
P086,Polyethylene,,,,,,,
P087,Polyimide,,,,,,,
P087,Polysiloxane,,,,,,,
P087,Self-healing,,,,,,,
P087,Polyurethane,,,,,,,
P087,Polylactic acid,,,,,,,
P087,PEG,,,,,,,
P087,Shape memory polymer,,,,,,,
P087,Elastomer,,,,,,,
P087,Polyethylene,,,,,,,
P088,Polyimide,,,,,,,
P088,Polysiloxane,,,,,,,
P088,Self-healing,,,,,,,
P088,Polyurethane,,,,,,,
P088,Polyamide,,,,,,,
P088,Polyelectrolyte,,,,,,,
P088,Ionogel,,,,,,,
P088,Polylactic acid,,,,,,,
P088,PDMS,,,,,,,
P088,Ionic liquid,,,,,,,
P088,Chitosan,,,,,,,
P088,Gelatin,,,,,,,
P088,PEG,,,,,,,
P088,Elastomer,,,,,,,
P088,Hydrogel,,,,,,,
P088,Polyethylene,,,,,,,
P089,Furan,,,,,,,
P089,Polyimide,,,,,,,
P089,Polyacrylate,,,,,,,
P089,Polyurethane,,,,,,,
P089,Ionogel,,,,,,,
P089,Polylactic acid,,,,,,,
P089,Ionic liquid,,,,,,,
P089,PEG,,,,,,,
P089,Polyester,,,,,,,
P089,Elastomer,,,,,,,
P089,PVDF,,,,,,,
P089,Polyethylene,,,,,,,
P090,Polyimide,,,,,,,
P090,Polyacrylate,,,,,,,
P090,Polyurethane,,,,,,,
P090,Hydrogel,,,,,,,
P090,Polylactic acid,,,,,,,
P090,Chitosan,,,,,,,
P090,PCL,,,,,,,
P090,Ionic liquid,,,,,,,
P090,PEG,,,,,,,
P090,Elastomer,,,,,,,
P090,PVDF,,,,,,,
P090,Polyethylene,,,,,,,
