paper_id,figure_or_table,content,key_observation,supported_conclusion,importance_level
P013,Fig. 1a,,,,
P013,Fig. 3b,,,,
P013,Fig. 1g,,,,
P013,Fig. 6c,,,,
P013,Fig. 2f,,,,
P013,Fig. 5c,,,,
P013,Fig. 4f,,,,
P013,Fig. 2,,,,
P013,Fig. 1b,,,,
P013,Fig. 4g,,,,
P013,Fig. 1,,,,
P013,Fig. 5e,,,,
P013,Fig. 5a,,,,
P013,Fig. 5h,,,,
P013,Fig. 3c,,,,
P013,Fig. 2e,,,,
P013,Fig. 3a,,,,
P013,Fig. 4e,,,,
P013,Fig. 2c,,,,
P013,Fig. 1c,,,,
P013,Fig. 5i,,,,
P013,Fig. 6f,,,,
P013,Fig. 6a,,,,
P013,Fig. 6e,,,,
P013,Fig. 1e,,,,
P013,Fig. 3d,,,,
P013,Fig. 6,,,,
P013,Fig. 3,,,,
P013,Fig. 4c,,,,
P013,Fig. 2a,,,,
P013,Fig. 5,,,,
P015,Fig. 4d,,,,
P015,Fig. 2d,,,,
P015,Fig. 4a,,,,
P015,Fig. 4,,,,
P015,Fig. 3g,,,,
P015,Fig. 5d,,,,
P015,Fig. 3e,,,,
P015,Fig. 3b,,,,
P015,Fig. 3h,,,,
P015,Fig. 2f,,,,
P015,Fig. 5c,,,,
P015,Fig. 2,,,,
P015,Fig. 1,,,,
P015,Fig. 5e,,,,
P015,Fig. 5a,,,,
P015,Fig. 5f,,,,
P015,Fig. 3c,,,,
P015,Fig. 3a,,,,
P015,Fig. 4b,,,,
P015,Fig. 3f,,,,
P015,Fig. 5b,,,,
P015,Fig. 3,,,,
P015,Fig. 5,,,,
P016,Fig. 3,,,,
P016,Fig. 4,,,,
P016,Fig. 4a,,,,
P016,Fig. 7,,,,
P016,Fig. 3b,,,,
P016,Fig. 9,,,,
P016,Fig. 2f,,,,
P016,Fig. 2,,,,
P016,Fig. 8,,,,
P016,Fig. 1,,,,
P016,Fig. 5a,,,,
P016,Fig. 1i,,,,
P016,Fig. 10,,,,
P016,Fig. 11,,,,
P016,Fig. 3a,,,,
P016,Fig. 9b,,,,
P016,Fig. 4b,,,,
P016,Fig. 12,,,,
P016,Fig. 3f,,,,
P016,Fig. 11a,,,,
P016,Fig. 6,,,,
P016,Fig. 11b,,,,
P016,Fig. 5b,,,,
P016,Fig. 9a,,,,
P016,Fig. 2a,,,,
P016,Fig. 5,,,,
P017,Fig. 2,,,,
P017,Fig. 4,,,,
P017,Fig. 1,,,,
P017,Fig. 3,,,,
P017,Fig. 5,,,,
P018,Fig. 12,,,,
P018,Fig. 13,,,,
P018,Fig. 2,,,,
P018,Fig. 4,,,,
P018,Fig. 8,,,,
P018,Fig. 1,,,,
P018,Fig. 7,,,,
P018,Fig. 6,,,,
P018,Fig. 3,,,,
P018,Fig. 9o,,,,
P018,Fig. 9,,,,
P018,Fig. 10,,,,
P018,Fig. 11,,,,
P018,Fig. 5,,,,
P019,Fig. 2,,,,
P019,Fig. 4,,,,
P019,Fig. 1c,,,,
P019,Fig. 1b,,,,
P019,Fig. 1,,,,
P019,Fig. 7,,,,
P019,Fig. 8,,,,
P019,Fig. 1a,,,,
P019,Fig. 6,,,,
P019,Fig. 3,,,,
P019,Fig. 9,,,,
P019,Fig. 10,,,,
P019,Fig. 5,,,,
P020,Fig. 6b,,,,
P020,Fig. 4,,,,
P020,Fig. 7b,,,,
P020,Fig. 8d,,,,
P020,Fig. 7,,,,
P020,Fig. 1f,,,,
P020,Fig. 1a,,,,
P020,Fig. 3b,,,,
P020,Fig. 9,,,,
P020,Fig. 9a,,,,
P020,Fig. 2,,,,
P020,Fig. 8,,,,
P020,Fig. 1b,,,,
P020,Fig. 1,,,,
P020,Fig. 3a,,,,
P020,Fig. 9b,,,,
P020,Fig. 7a,,,,
P020,Fig. 8a,,,,
P020,Fig. 6a,,,,
P020,Fig. 8b,,,,
P020,Fig. 9c,,,,
P020,Fig. 1d,,,,
P020,Fig. 1e,,,,
P020,Fig. 6,,,,
P020,Fig. 8c,,,,
P020,Fig. 3,,,,
P020,Fig. 5,,,,
P021,Fig. 3,,,,
P021,Fig. 15,,,,
P021,Fig. 2b,,,,
P021,Fig. 4,,,,
P021,Fig. 13a,,,,
P021,Fig. 7,,,,
P021,Fig. 10b,,,,
P021,Fig. 9,,,,
P021,Fig. 10d,,,,
P021,Fig. 13,,,,
P021,Fig. 2,,,,
P021,Fig. 8,,,,
P021,Fig. 14,,,,
P021,Fig. 1,,,,
P021,Fig. 13b,,,,
P021,Fig. 15a,,,,
P021,Fig. 10,,,,
P021,Fig. 11,,,,
P021,Fig. 9b,,,,
P021,Fig. 4b,,,,
P021,Fig. 2c,,,,
P021,Fig. 13d,,,,
P021,Fig. 10c,,,,
P021,Fig. 12,,,,
P021,Fig. 10a,,,,
P021,Fig. 6,,,,
P021,Fig. 9a,,,,
P021,Fig. 2a,,,,
P021,Fig. 5,,,,
P022,Fig. 2b,,,,
P022,Fig. 2,,,,
P022,Fig. 4,,,,
P022,Fig. 1,,,,
P022,Fig. 3b,,,,
P022,Fig. 6,,,,
P022,Fig. 5a,,,,
P022,Fig. 5b,,,,
P022,Fig. 3,,,,
P022,Fig. 6c,,,,
P022,Fig. 5,,,,
P023,Fig. 4d,,,,
P023,Fig. 4,,,,
P023,Fig. 4a,,,,
P023,Fig. 5d,,,,
P023,Fig. 7,,,,
P023,Fig. 1a,,,,
P023,Fig. 3b,,,,
P023,Fig. 6i,,,,
P023,Fig. 9,,,,
P023,Fig. 5c,,,,
P023,Fig. 2,,,,
P023,Fig. 8,,,,
P023,Fig. 1b,,,,
P023,Fig. 1,,,,
P023,Fig. 5e,,,,
P023,Fig. 5a,,,,
P023,Fig. 5f,,,,
P023,Fig. 3a,,,,
P023,Fig. 4b,,,,
P023,Fig. 1c,,,,
P023,Fig. 1d,,,,
P023,Fig. 1e,,,,
P023,Fig. 6,,,,
P023,Fig. 5b,,,,
P023,Fig. 3,,,,
P023,Fig. 4c,,,,
P023,Fig. 5,,,,
P024,Fig. 2,,,,
P024,Fig. 4,,,,
P024,Fig. 1,,,,
P024,Fig. 7,,,,
P024,Fig. 6,,,,
P024,Fig. 3,,,,
P024,Fig. 5,,,,
P025,Fig. 15,,,,
P025,Fig. 4,,,,
P025,Fig. 7,,,,
P025,Fig. 4i,,,,
P025,Fig. 17,,,,
P025,Fig. 9,,,,
P025,Fig. 18,,,,
P025,Fig. 13,,,,
P025,Fig. 2,,,,
P025,Fig. 8,,,,
P025,Fig. 14,,,,
P025,Fig. 1,,,,
P025,Fig. 10,,,,
P025,Fig. 11,,,,
P025,Fig. 19,,,,
P025,Fig. 12,,,,
P025,Fig. 16,,,,
P025,Fig. 14i,,,,
P025,Fig. 335,,,,
P025,Fig. 6,,,,
P025,Fig. 3,,,,
P025,Fig. 5,,,,
P026,Fig. 13,,,,
P026,Fig. 2,,,,
P026,Fig. 4,,,,
P026,Fig. 8,,,,
P026,Fig. 14,,,,
P026,Fig. 1,,,,
P026,Fig. 7,,,,
P026,Fig. 6,,,,
P026,Fig. 3,,,,
P026,Fig. 9,,,,
P026,Fig. 12,,,,
P026,Fig. 10,,,,
P026,Fig. 11,,,,
P026,Fig. 5,,,,
P027,Fig. 4d,,,,
P027,Fig. 2,,,,
P027,Fig. 4,,,,
P027,Fig. 4a,,,,
P027,Fig. 8,,,,
P027,Fig. 1,,,,
P027,Fig. 7,,,,
P027,Fig. 8170,,,,
P027,Fig. 6,,,,
P027,Fig. 5a,,,,
P027,Fig. 5b,,,,
P027,Fig. 3,,,,
P027,Fig. 9,,,,
P027,Fig. 7g,,,,
P027,Fig. 5,,,,
P028,Fig. 15,,,,
P028,Fig. 16a,,,,
P028,Fig. 2b,,,,
P028,Fig. 4,,,,
P028,Fig. 13a,,,,
P028,Fig. 7,,,,
P028,Fig. 1a,,,,
P028,Fig. 3b,,,,
P028,Fig. 17,,,,
P028,Fig. 9,,,,
P028,Fig. 18,,,,
P028,Fig. 9a,,,,
P028,Fig. 14b,,,,
P028,Fig. 13,,,,
P028,Fig. 2,,,,
P028,Fig. 8,,,,
P028,Fig. 1b,,,,
P028,Fig. 14,,,,
P028,Fig. 1,,,,
P028,Fig. 13b,,,,
P028,Fig. 14c,,,,
P028,Fig. 19s,,,,
P028,Fig. 21,,,,
P028,Fig. 15c,,,,
P028,Fig. 15a,,,,
P028,Fig. 7d,,,,
P028,Fig. 10,,,,
P028,Fig. 11,,,,
P028,Fig. 3c,,,,
P028,Fig. 3a,,,,
P028,Fig. 9b,,,,
P028,Fig. 19,,,,
P028,Fig. 2c,,,,
P028,Fig. 20,,,,
P028,Fig. 12,,,,
P028,Fig. 6a,,,,
P028,Fig. 9c,,,,
P028,Fig. 16,,,,
P028,Fig. 11a,,,,
P028,Fig. 16b,,,,
P028,Fig. 6,,,,
P028,Fig. 11b,,,,
P028,Fig. 16c,,,,
P028,Fig. 3,,,,
P028,Fig. 15b,,,,
P028,Fig. 2a,,,,
P028,Fig. 5,,,,
P029,Fig. 16a,,,,
P029,Fig. 25,,,,
P029,Fig. 4,,,,
P029,Fig. 7,,,,
P029,Fig. 17,,,,
P029,Fig. 9,,,,
P029,Fig. 12b,,,,
P029,Fig. 18,,,,
P029,Fig. 26s,,,,
P029,Fig. 13,,,,
P029,Fig. 2,,,,
P029,Fig. 8,,,,
P029,Fig. 14,,,,
P029,Fig. 1,,,,
P029,Fig. 21,,,,
P029,Fig. 27,,,,
P029,Fig. 5a,,,,
P029,Fig. 23,,,,
P029,Fig. 10,,,,
P029,Fig. 11,,,,
P029,Fig. 3a,,,,
P029,Fig. 24a,,,,
P029,Fig. 19,,,,
P029,Fig. 9f,,,,
P029,Fig. 20,,,,
P029,Fig. 26,,,,
P029,Fig. 12,,,,
P029,Fig. 24,,,,
P029,Fig. 16,,,,
P029,Fig. 16b,,,,
P029,Fig. 12a,,,,
P029,Fig. 28,,,,
P029,Fig. 22,,,,
P029,Fig. 6,,,,
P029,Fig. 5b,,,,
P029,Fig. 3,,,,
P029,Fig. 5,,,,
P030,Fig. 2,,,,
P030,Fig. 4,,,,
P030,Fig. 1,,,,
P030,Fig. 6,,,,
P030,Fig. 3,,,,
P030,Fig. 5,,,,
P031,Fig. 2,,,,
P031,Fig. 1,,,,
P031,Fig. 3,,,,
P032,Fig. 3,,,,
P032,Fig. 6b,,,,
P032,Fig. 4,,,,
P032,Fig. 2s,,,,
P032,Fig. 7,,,,
P032,Fig. 3b,,,,
P032,Fig. 9,,,,
P032,Fig. 2,,,,
P032,Fig. 8,,,,
P032,Fig. 1,,,,
P032,Fig. 5a,,,,
P032,Fig. 10,,,,
P032,Fig. 11,,,,
P032,Fig. 3a,,,,
P032,Fig. 6a,,,,
P032,Fig. 9c,,,,
P032,Fig. 6,,,,
P032,Fig. 9a,,,,
P032,Fig. 5,,,,
P033,Fig. 3,,,,
P033,Fig. 4a,,,,
P033,Fig. 7,,,,
P033,Fig. 1f,,,,
P033,Fig. 9,,,,
P033,Fig. 2,,,,
P033,Fig. 8,,,,
P033,Fig. 1,,,,
P033,Fig. 10,,,,
P033,Fig. 11,,,,
P033,Fig. 9b,,,,
P033,Fig. 4b,,,,
P033,Fig. 7a,,,,
P033,Fig. 8a,,,,
P033,Fig. 8b,,,,
P033,Fig. 11a,,,,
P033,Fig. 6,,,,
P033,Fig. 11b,,,,
P033,Fig. 9a,,,,
P033,Fig. 5,,,,
P034,Fig. 15,,,,
P034,Fig. 16,,,,
P034,Fig. 13,,,,
P034,Fig. 2,,,,
P034,Fig. 4,,,,
P034,Fig. 8,,,,
P034,Fig. 14,,,,
P034,Fig. 1,,,,
P034,Fig. 7,,,,
P034,Fig. 6,,,,
P034,Fig. 17,,,,
P034,Fig. 3,,,,
P034,Fig. 9,,,,
P034,Fig. 12,,,,
P034,Fig. 10,,,,
P034,Fig. 11,,,,
P034,Fig. 5,,,,
P035,Fig. 2,,,,
P035,Fig. 4,,,,
P035,Fig. 1,,,,
P035,Fig. 3,,,,
P036,Fig. 15,,,,
P036,Fig. 4,,,,
P036,Fig. 7b,,,,
P036,Fig. 7,,,,
P036,Fig. 10b,,,,
P036,Fig. 2i,,,,
P036,Fig. 17,,,,
P036,Fig. 9,,,,
P036,Fig. 18,,,,
P036,Fig. 13,,,,
P036,Fig. 2,,,,
P036,Fig. 8,,,,
P036,Fig. 14,,,,
P036,Fig. 1,,,,
P036,Fig. 5a,,,,
P036,Fig. 10,,,,
P036,Fig. 11,,,,
P036,Fig. 7a,,,,
P036,Fig. 12,,,,
P036,Fig. 18i,,,,
P036,Fig. 16,,,,
P036,Fig. 6,,,,
P036,Fig. 5b,,,,
P036,Fig. 3,,,,
P036,Fig. 5,,,,
P037,Fig. 2,,,,
P037,Fig. 4,,,,
P037,Fig. 8,,,,
P037,Fig. 11,,,,
P037,Fig. 1,,,,
P037,Fig. 7,,,,
P037,Fig. 6,,,,
P037,Fig. 3,,,,
P037,Fig. 9,,,,
P037,Fig. 10,,,,
P037,Fig. 1s,,,,
P037,Fig. 5,,,,
P038,Fig. 2,,,,
P038,Fig. 4,,,,
P038,Fig. 8,,,,
P038,Fig. 1,,,,
P038,Fig. 7,,,,
P038,Fig. 6,,,,
P038,Fig. 3,,,,
P038,Fig. 5,,,,
P039,Fig. 2,,,,
P039,Fig. 4,,,,
P039,Fig. 8,,,,
P039,Fig. 1,,,,
P039,Fig. 7,,,,
P039,Fig. 6,,,,
P039,Fig. 3,,,,
P039,Fig. 5,,,,
P043,Fig. 2,,,,
P043,Fig. 1,,,,
P043,Fig. 3,,,,
P044,Fig. 4d,,,,
P044,Fig. 6b,,,,
P044,Fig. 4,,,,
P044,Fig. 4a,,,,
P044,Fig. 7b,,,,
P044,Fig. 7,,,,
P044,Fig. 9,,,,
P044,Fig. 5c,,,,
P044,Fig. 9a,,,,
P044,Fig. 2,,,,
P044,Fig. 8,,,,
P044,Fig. 1,,,,
P044,Fig. 5a,,,,
P044,Fig. 9b,,,,
P044,Fig. 4b,,,,
P044,Fig. 7a,,,,
P044,Fig. 8a,,,,
P044,Fig. 6a,,,,
P044,Fig. 8b,,,,
P044,Fig. 9c,,,,
P044,Fig. 9d,,,,
P044,Fig. 6,,,,
P044,Fig. 8c,,,,
P044,Fig. 5b,,,,
P044,Fig. 3,,,,
P044,Fig. 4c,,,,
P044,Fig. 2a,,,,
P044,Fig. 5,,,,
P045,Fig. 2,,,,
P045,Fig. 4,,,,
P045,Fig. 1,,,,
P045,Fig. 6,,,,
P045,Fig. 3,,,,
P045,Fig. 5,,,,
P046,Fig. 2,,,,
P046,Fig. 1,,,,
P047,Fig. 3a,,,,
P047,Fig. 5c,,,,
P047,Fig. 2b,,,,
P047,Fig. 2,,,,
P047,Fig. 4,,,,
P047,Fig. 1,,,,
P047,Fig. 3b,,,,
P047,Fig. 5a,,,,
P047,Fig. 5b,,,,
P047,Fig. 3,,,,
P047,Fig. 5,,,,
P048,Fig. 15,,,,
P048,Fig. 16,,,,
P048,Fig. 13,,,,
P048,Fig. 2,,,,
P048,Fig. 4,,,,
P048,Fig. 8,,,,
P048,Fig. 14,,,,
P048,Fig. 1,,,,
P048,Fig. 7,,,,
P048,Fig. 6,,,,
P048,Fig. 7a,,,,
P048,Fig. 3,,,,
P048,Fig. 9,,,,
P048,Fig. 12,,,,
P048,Fig. 10,,,,
P048,Fig. 11,,,,
P048,Fig. 5,,,,
P049,Fig. 15,,,,
P049,Fig. 4,,,,
P049,Fig. 7,,,,
P049,Fig. 8s,,,,
P049,Fig. 1a,,,,
P049,Fig. 9,,,,
P049,Fig. 13,,,,
P049,Fig. 2,,,,
P049,Fig. 8,,,,
P049,Fig. 1b,,,,
P049,Fig. 14,,,,
P049,Fig. 1,,,,
P049,Fig. 10,,,,
P049,Fig. 11,,,,
P049,Fig. 1c,,,,
P049,Fig. 17s,,,,
P049,Fig. 12,,,,
P049,Fig. 16,,,,
P049,Fig. 1d,,,,
P049,Fig. 1e,,,,
P049,Fig. 6,,,,
P049,Fig. 3,,,,
P049,Fig. 5,,,,
P051,Fig. 2,,,,
P051,Fig. 4,,,,
P051,Fig. 1,,,,
P051,Fig. 3,,,,
P052,Fig. 4,,,,
P052,Fig. 2,,,,
P052,Fig. 1b,,,,
P052,Fig. 8,,,,
P052,Fig. 1,,,,
P052,Fig. 7,,,,
P052,Fig. 4a,,,,
P052,Fig. 1a,,,,
P052,Fig. 6,,,,
P052,Fig. 3,,,,
P052,Fig. 8b,,,,
P052,Fig. 5,,,,
P053,Fig. 2d,,,,
P053,Fig. 2b,,,,
P053,Fig. 4a,,,,
P053,Fig. 4,,,,
P053,Fig. 3g,,,,
P053,Fig. 5d,,,,
P053,Fig. 4i,,,,
P053,Fig. 5g,,,,
P053,Fig. 1f,,,,
P053,Fig. 3e,,,,
P053,Fig. 1a,,,,
P053,Fig. 3b,,,,
P053,Fig. 4k,,,,
P053,Fig. 3h,,,,
P053,Fig. 5c,,,,
P053,Fig. 4f,,,,
P053,Fig. 5j,,,,
P053,Fig. 2,,,,
P053,Fig. 1b,,,,
P053,Fig. 4g,,,,
P053,Fig. 1,,,,
P053,Fig. 5e,,,,
P053,Fig. 5a,,,,
P053,Fig. 5h,,,,
P053,Fig. 5f,,,,
P053,Fig. 3c,,,,
P053,Fig. 2e,,,,
P053,Fig. 3a,,,,
P053,Fig. 5l,,,,
P053,Fig. 4b,,,,
P053,Fig. 3k,,,,
P053,Fig. 2c,,,,
P053,Fig. 3i,,,,
P053,Fig. 1c,,,,
P053,Fig. 5i,,,,
P053,Fig. 4j,,,,
P053,Fig. 3j,,,,
P053,Fig. 1d,,,,
P053,Fig. 5k,,,,
P053,Fig. 1e,,,,
P053,Fig. 4l,,,,
P053,Fig. 3d,,,,
P053,Fig. 5b,,,,
P053,Fig. 3,,,,
P053,Fig. 2a,,,,
P053,Fig. 5,,,,
P054,Fig. 2d,,,,
P054,Fig. 2b,,,,
P054,Fig. 4,,,,
P054,Fig. 5d,,,,
P054,Fig. 7,,,,
P054,Fig. 5g,,,,
P054,Fig. 3e,,,,
P054,Fig. 1a,,,,
P054,Fig. 3b,,,,
P054,Fig. 5c,,,,
P054,Fig. 2,,,,
P054,Fig. 1b,,,,
P054,Fig. 1,,,,
P054,Fig. 5e,,,,
P054,Fig. 5a,,,,
P054,Fig. 5h,,,,
P054,Fig. 5f,,,,
P054,Fig. 3c,,,,
P054,Fig. 3a,,,,
P054,Fig. 1c,,,,
P054,Fig. 7a,,,,
P054,Fig. 3f,,,,
P054,Fig. 3d,,,,
P054,Fig. 6,,,,
P054,Fig. 5b,,,,
P054,Fig. 3,,,,
P054,Fig. 4c,,,,
P054,Fig. 2a,,,,
P054,Fig. 5,,,,
P055,Fig. 3c,,,,
P055,Fig. 3a,,,,
P055,Fig. 2d,,,,
P055,Fig. 2b,,,,
P055,Fig. 2,,,,
P055,Fig. 2c,,,,
P055,Fig. 1b,,,,
P055,Fig. 4,,,,
P055,Fig. 1,,,,
P055,Fig. 1a,,,,
P055,Fig. 3b,,,,
P055,Fig. 3,,,,
P055,Fig. 2a,,,,
P056,Fig. 3a,,,,
P056,Fig. 4d,,,,
P056,Fig. 4b,,,,
P056,Fig. 4f,,,,
P056,Fig. 2b,,,,
P056,Fig. 2,,,,
P056,Fig. 4,,,,
P056,Fig. 1b,,,,
P056,Fig. 4a,,,,
P056,Fig. 1,,,,
P056,Fig. 4g,,,,
P056,Fig. 1a,,,,
P056,Fig. 3b,,,,
P056,Fig. 4h,,,,
P056,Fig. 3,,,,
P056,Fig. 4c,,,,
P056,Fig. 2a,,,,
P056,Fig. 5,,,,
P057,Fig. 2,,,,
P057,Fig. 4,,,,
P057,Fig. 1,,,,
P057,Fig. 3,,,,
P058,Fig. 2e,,,,
P058,Fig. 2f,,,,
P058,Fig. 2d,,,,
P058,Fig. 2b,,,,
P058,Fig. 1b,,,,
P058,Fig. 1c,,,,
P058,Fig. 1,,,,
P058,Fig. 1a,,,,
P058,Fig. 2a,,,,
P059,Fig. 2,,,,
P059,Fig. 4,,,,
P059,Fig. 8,,,,
P059,Fig. 1,,,,
P059,Fig. 7,,,,
P059,Fig. 6,,,,
P059,Fig. 3,,,,
P059,Fig. 9,,,,
P059,Fig. 5,,,,
P060,Fig. 4d,,,,
P060,Fig. 2d,,,,
P060,Fig. 2b,,,,
P060,Fig. 4a,,,,
P060,Fig. 4,,,,
P060,Fig. 5d,,,,
P060,Fig. 1f,,,,
P060,Fig. 3e,,,,
P060,Fig. 1a,,,,
P060,Fig. 3b,,,,
P060,Fig. 1g,,,,
P060,Fig. 2f,,,,
P060,Fig. 5c,,,,
P060,Fig. 4f,,,,
P060,Fig. 2,,,,
P060,Fig. 4g,,,,
P060,Fig. 1,,,,
P060,Fig. 5e,,,,
P060,Fig. 5a,,,,
P060,Fig. 3a,,,,
P060,Fig. 2e,,,,
P060,Fig. 4e,,,,
P060,Fig. 4b,,,,
P060,Fig. 2c,,,,
P060,Fig. 1c,,,,
P060,Fig. 3f,,,,
P060,Fig. 1d,,,,
P060,Fig. 1e,,,,
P060,Fig. 3d,,,,
P060,Fig. 5b,,,,
P060,Fig. 3,,,,
P060,Fig. 4c,,,,
P060,Fig. 2a,,,,
P060,Fig. 5,,,,
P061,Fig. 4d,,,,
P061,Fig. 2d,,,,
P061,Fig. 2b,,,,
P061,Fig. 4a,,,,
P061,Fig. 4,,,,
P061,Fig. 3g,,,,
P061,Fig. 5d,,,,
P061,Fig. 3e,,,,
P061,Fig. 1a,,,,
P061,Fig. 3h,,,,
P061,Fig. 4f,,,,
P061,Fig. 2,,,,
P061,Fig. 1,,,,
P061,Fig. 5e,,,,
P061,Fig. 5a,,,,
P061,Fig. 5f,,,,
P061,Fig. 2e,,,,
P061,Fig. 3a,,,,
P061,Fig. 4b,,,,
P061,Fig. 2c,,,,
P061,Fig. 0,,,,
P061,Fig. 1c,,,,
P061,Fig. 3f,,,,
P061,Fig. 1d,,,,
P061,Fig. 1e,,,,
P061,Fig. 3d,,,,
P061,Fig. 5b,,,,
P061,Fig. 3,,,,
P061,Fig. 4c,,,,
P061,Fig. 2a,,,,
P061,Fig. 5,,,,
P062,Fig. 1e,,,,
P063,Fig. 6b,,,,
P063,Fig. 2b,,,,
P063,Fig. 4a,,,,
P063,Fig. 4,,,,
P063,Fig. 5d,,,,
P063,Fig. 1a,,,,
P063,Fig. 3b,,,,
P063,Fig. 5c,,,,
P063,Fig. 2,,,,
P063,Fig. 1b,,,,
P063,Fig. 1,,,,
P063,Fig. 5e,,,,
P063,Fig. 5a,,,,
P063,Fig. 5f,,,,
P063,Fig. 3c,,,,
P063,Fig. 3a,,,,
P063,Fig. 4b,,,,
P063,Fig. 1d,,,,
P063,Fig. 1e,,,,
